id     identifier                                                                                                                                                                                                simplified_identifier                               lemma                                               postag                        
114    java.util.Set<java.nio.channels.SelectionKey>                                                                                                                                                             1D Collection of SelectionKey                       1d collection of SelectionKey                       NN NN IN NNP                  
115    java.io.ObjectInputStream                                                                                                                                                                                 0D Collection of ObjectInputStream                  0d collection of ObjectInputStream                  NN NN IN NNP                  
116    org.jbpm.process.audit.AbstractAuditLogger                                                                                                                                                                0D Collection of AbstractAuditLogger                0d collection of AbstractAuditLogger                NN NN IN NNP                  
117    org.jbpm.process.audit.AuditLoggerFactory.Type                                                                                                                                                            0D Collection of Type                               0d collection of type                               NN NN IN NN                   
118    org.kie.api.runtime.KieSession                                                                                                                                                                            0D Collection of KieSession                         0d collection of KieSession                         NN NN IN NNP                  
119    java.util.Map<java.lang.String, java.lang.Object>                                                                                                                                                         1D Map of Object                                    1d map of Object                                    NN NN IN NNP                  
120    javax.jms.ConnectionFactory                                                                                                                                                                               0D Collection of ConnectionFactory                  0d collection of ConnectionFactory                  NN NN IN NNP                  
121    javax.jms.Queue                                                                                                                                                                                           0D Collection of Queue                              0d collection of Queue                              NN NN IN NNP                  
122    org.kie.api.runtime.Environment                                                                                                                                                                           0D Collection of Environment                        0d collection of environment                        NN NN IN NN                   
123    javax.persistence.criteria.Predicate                                                                                                                                                                      0D Collection of Predicate                          0d collection of predicate                          NN NN IN NN                   
124    org.jbpm.process.audit.CriteriaQuery<Q>                                                                                                                                                                   1D Collection of Q                                  1d collection of Q                                  NN NN IN NNP                  
125    javax.persistence.criteria.CriteriaBuilder                                                                                                                                                                0D Collection of CriteriaBuilder                    0d collection of CriteriaBuilder                    NN NN IN NNP                  
126    org.jbpm.query.jpa.data.QueryCriteria                                                                                                                                                                     0D Collection of QueryCriteria                      0d collection of QueryCriteria                      NN NN IN NNP                  
127    org.jbpm.process.audit.Root<T>                                                                                                                                                                            1D Collection of T                                  1d collection of t                                  NN NN IN NN                   
128    org.jbpm.process.audit.CriteriaQuery<R>                                                                                                                                                                   1D Collection of R                                  1d collection of r                                  NN NN IN NN                   
129    java.lang.Class                                                                                                                                                                                           0D Collection of Class                              0d collection of class                              NN NN IN NN                   
