id     identifier                      simplified_identifier           lemma                           postag              
543    org.jbpm.test.container.Archiv  1D Collection of EnterpriseArc  1d collection of EnterpriseArc  NN NN IN NNP        
544    java.util.List<org.jbpm.servic  1D Collection of NodeInstanceD  1d collection of NodeInstanceD  NN NN IN NNP        
545    org.jboss.shrinkwrap.api.spec.  0D Collection of WebArchive     0d collection of WebArchive     NN NN IN NNP        
546    org.jbpm.services.api.model.De  0D Collection of DeploymentUni  0d collection of DeploymentUni  NN NN IN NNP        
547    org.kie.internal.identity.Iden  0D Collection of IdentityProvi  0d collection of IdentityProvi  NN NN IN NNP        
548    org.kie.api.event.process.Proc  0D Collection of ProcessEventL  0d collection of ProcessEventL  NN NN IN NNP        
549    org.jbpm.test.container.archiv  0D Collection of ProcessScenar  0d collection of ProcessScenar  NN NN IN NNP        
550    org.jboss.shrinkwrap.api.spec.  0D Collection of EnterpriseArc  0d collection of EnterpriseArc  NN NN IN NNP        
551    org.jbpm.test.container.archiv  0D Collection of Person         0d collection of person         NN NN IN NN         
552    org.jbpm.test.container.archiv  1D Collection of                1d collection of                NN NN IN            
553    org.kie.api.command.KieCommand  0D Collection of KieCommands    0d collection of KieCommands    NN NN IN NNPS       
554    org.kie.api.io.KieResources     0D Collection of KieResources   0d collection of kieresource    NN NN IN NNS        
555    org.kie.api.persistence.jpa.Ki  0D Collection of KieStoreServi  0d collection of kiestoreservi  NN NN IN NNS        
556    java.util.Collection<org.jbpm.  1D Collection of VariableDesc   1d collection of VariableDesc   NN NN IN NNP        
557    java.util.List<org.kie.api.tas  1D Collection of TaskSummary    1d collection of TaskSummary    NN NN IN NNP        
558    org.jbpm.test.container.archiv  0D Collection of ProcessEJB     0d collection of ProcessEJB     NN NN IN NNP        
559    org.jbpm.test.container.test.A  1D Collection of                1d collection of                NN NN IN            
560    org.jbpm.document.marshalling.  0D Collection of Context        0d collection of Context        NN NN IN NNP        
561    org.jbpm.document.Document      0D Collection of Document       0d collection of Document       NN NN IN NNP        
562    org.jbpm.document.service.Docu  0D Collection of DocumentStora  0d collection of DocumentStora  NN NN IN NNP        
563    org.jbpm.document.service.Docu  0D Collection of DocumentStora  0d collection of DocumentStora  NN NN IN NNP        
564    java.util.List<org.jbpm.docume  1D Collection of Document       1d collection of Document       NN NN IN NNP        
565    java.lang.Iterable<java.lang.O  1D Array of Object              1d array of Object              NN NN IN NNP        
566    org.jbpm.examples.checklist.Ch  0D Collection of ChecklistItem  0d collection of ChecklistItem  NN NN IN NNP        
567    java.util.List<org.jbpm.exampl  1D Collection of ChecklistItem  1d collection of ChecklistItem  NN NN IN NNP        
568    org.kie.api.task.model.Task     0D Collection of Task           0d collection of Task           NN NN IN NNP        
569    java.util.List<org.kie.api.tas  1D Collection of I18NText       1d collection of i18ntext       NN NN IN NN         
570    java.util.Collection<org.jbpm.  1D Collection of ChecklistItem  1d collection of ChecklistItem  NN NN IN NNP        
571    org.jbpm.examples.checklist.Ch  0D Collection of Status         0d collection of Status         NN NN IN NNP        
572    java.awt.event.KeyEvent         0D Collection of KeyEvent       0d collection of KeyEvent       NN NN IN NNP        
573    javax.swing.event.ListSelectio  0D Collection of ListSelection  0d collection of ListSelection  NN NN IN NNP        
574    java.awt.Component              0D Collection of Component      0d collection of component      NN NN IN NN         
575    javax.swing.JTable              0D Collection of JTable         0d collection of jtable         NN NN IN JJ         
576    java.util.List<org.jbpm.exampl  1D Collection of ChecklistCont  1d collection of ChecklistCont  NN NN IN NNP        
577    org.kie.api.runtime.manager.Ru  0D Collection of RuntimeEngine  0d collection of runtimeengine  NN NN IN NN         
578    org.kie.internal.task.api.mode  0D Collection of InternalTask   0d collection of InternalTask   NN NN IN NNP        
579    java.util.List<org.kie.api.tas  1D Collection of Organizationa  1d collection of Organizationa  NN NN IN NNP        
580    org.jbpm.examples.quickstarts.  0D Collection of HelloService   0d collection of HelloService   NN NN IN NNP        
581    java.awt.event.MouseEvent       0D Collection of MouseEvent     0d collection of MouseEvent     NN NN IN NNP        
582    org.drools.core.marshalling.im  0D Collection of MarshallerWri  0d collection of MarshallerWri  NN NN IN NNP        
583    org.kie.api.runtime.process.No  0D Collection of NodeInstance   0d collection of NodeInstance   NN NN IN NNP        
584    org.jbpm.workflow.instance.imp  0D Collection of NodeInstanceI  0d collection of NodeInstanceI  NN NN IN NNP        
585    org.drools.core.marshalling.im  0D Collection of MarshallerRea  0d collection of MarshallerRea  NN NN IN NNP        
586    org.kie.api.runtime.process.Wo  0D Collection of WorkflowProce  0d collection of WorkflowProce  NN NN IN NNP        
587    java.util.Map.Entry<java.lang.  1D Map of Object                1d map of Object                NN NN IN NNP        
588    java.util.Map.Entry<java.lang.  1D Map of Integer               1d map of integer               NN NN IN NN         
589    org.jbpm.marshalling.impl.JBPM  0D Collection of NodeInstanceC  0d collection of NodeInstanceC  NN NN IN NNP        
590    JBPMMessages.ProcessInstance.N  0D Collection of Builder        0d collection of builder        NN NN IN NN         
591    com.google.protobuf.ExtensionR  0D Collection of ExtensionRegi  0d collection of extensionregi  NN NN IN NN         
592    com.google.protobuf.Descriptor  0D Collection of FileDescripto  0d collection of FileDescripto  NN NN IN NNP        
593    com.google.protobuf.ByteString  0D Collection of ByteString     0d collection of bytestring     NN NN IN NN         
594    com.google.protobuf.Descriptor  0D Collection of Descriptor     0d collection of descriptor     NN NN IN NN         
595    com.google.protobuf.GeneratedM  0D Collection of FieldAccessor  0d collection of FieldAccessor  NN NN IN NNP        
596    org.jbpm.marshalling.impl.JBPM  0D Collection of IterationLeve  0d collection of IterationLeve  NN NN IN NNP        
597    org.jbpm.marshalling.impl.JBPM  0D Collection of Builder        0d collection of builder        NN NN IN NN         
598    com.google.protobuf.CodedInput  0D Collection of CodedInputStr  0d collection of CodedInputStr  NN NN IN NNP        
599    com.google.protobuf.ExtensionR  0D Collection of ExtensionRegi  0d collection of ExtensionRegi  NN NN IN NNP        
600    com.google.protobuf.Message     0D Collection of Message        0d collection of message        NN NN IN NN         
601    com.google.protobuf.Parser<org  1D Collection of IterationLeve  1d collection of IterationLeve  NN NN IN NNP        
602    com.google.protobuf.UnknownFie  0D Collection of UnknownFieldS  0d collection of UnknownFieldS  NN NN IN NNP        
603    com.google.protobuf.GeneratedM  0D Collection of BuilderParent  0d collection of BuilderParent  NN NN IN NNP        
604    com.google.protobuf.CodedOutpu  0D Collection of CodedOutputSt  0d collection of CodedOutputSt  NN NN IN NNP        
605    org.jbpm.marshalling.impl.Cont  0D Collection of Context        0d collection of Context        NN NN IN NNP        
606    org.drools.core.common.Interna  0D Collection of InternalKnowl  0d collection of InternalKnowl  NN NN IN NNP        
607    org.jbpm.process.instance.Proc  0D Collection of ProcessInstan  0d collection of ProcessInstan  NN NN IN NNP        
608    org.drools.core.marshalling.im  0D Collection of ProcessMarsha  0d collection of ProcessMarsha  NN NN IN NNP        
609    org.jbpm.marshalling.impl.Proc  0D Collection of ProcessInstan  0d collection of ProcessInstan  NN NN IN NNP        
610    org.jbpm.marshalling.impl.JBPM  0D Collection of Variable       0d collection of variable       NN NN IN JJ         
611    java.util.List<org.kie.api.run  1D Collection of ProcessInstan  1d collection of ProcessInstan  NN NN IN NNP        
612    org.jbpm.marshalling.impl.JBPM  0D Collection of VariableConta  0d collection of VariableConta  NN NN IN NNP        
613    org.jbpm.process.instance.time  0D Collection of TimerInstance  0d collection of TimerInstance  NN NN IN NNP        
614    org.jbpm.workflow.instance.imp  0D Collection of WorkflowProce  0d collection of WorkflowProce  NN NN IN NNP        
615    org.kie.api.executor.Execution  0D Collection of ExecutionResu  0d collection of executionresu  NN NN IN NNS        
616    org.kie.api.executor.CommandCo  0D Collection of CommandContex  0d collection of commandcontex  NN NN IN NN         
617    org.jbpm.process.core.Context   0D Collection of Context        0d collection of Context        NN NN IN NNP        
618    org.jbpm.process.core.context.  0D Collection of ExceptionHand  0d collection of ExceptionHand  NN NN IN NNP        
619    java.util.Map<java.lang.String  1D Map of ExceptionHandler      1d map of ExceptionHandler      NN NN IN NNP        
620    java.util.Collection<Swimlane>  1D Collection of Swimlane       1d collection of swimlane       NN NN IN NN         
621    org.jbpm.process.core.context.  0D Collection of Swimlane       0d collection of swimlane       NN NN IN NN         
622    java.util.Collection<org.jbpm.  1D Collection of Swimlane       1d collection of swimlane       NN NN IN NN         
623    java.util.List<Variable>        1D Collection of Variable       1d collection of variable       NN NN IN JJ         
624    java.util.List<org.jbpm.proces  1D Collection of Context        1d collection of Context        NN NN IN NNP        
625    org.jbpm.process.core.impl.Dat  0D Collection of DataTransform  0d collection of datatransform  NN NN IN NN         
626    org.kie.api.runtime.process.Da  0D Collection of DataTransform  0d collection of DataTransform  NN NN IN NNP        
627    org.jbpm.process.core.impl.Kno  0D Collection of KnowledgeType  0d collection of KnowledgeType  NN NN IN NNP        
628    org.jbpm.process.core.impl.Xml  0D Collection of XmlProcessDum  0d collection of XmlProcessDum  NN NN IN NNP        
629    java.util.List<org.jbpm.proces  1D Collection of TimePeriod     1d collection of TimePeriod     NN NN IN NNP        
630    org.drools.core.time.impl.Time  0D Collection of TimerJobInsta  0d collection of TimerJobInsta  NN NN IN NNP        
631    org.jbpm.process.core.timer.im  1D Collection of T              1d collection of t              NN NN IN NN         
632    org.drools.core.time.JobHandle  0D Collection of JobHandle      0d collection of JobHandle      NN NN IN NNP        
633    java.util.Collection<org.drool  1D Collection of TimerJobInsta  1d collection of TimerJobInsta  NN NN IN NNP        
634    org.drools.core.command.Comman  0D Collection of CommandServic  0d collection of CommandServic  NN NN IN NNP        
635    org.jbpm.process.instance.time  0D Collection of ProcessJobCon  0d collection of ProcessJobCon  NN NN IN NNP        
636    org.drools.core.time.JobContex  0D Collection of JobContext     0d collection of JobContext     NN NN IN NNP        
637    org.jbpm.process.core.timer.Na  0D Collection of NamedJobConte  0d collection of NamedJobConte  NN NN IN NNP        
638    org.drools.core.time.Job        0D Collection of Job            0d collection of Job            NN NN IN NNP        
639    org.drools.core.time.Trigger    0D Collection of Trigger        0d collection of trigger        NN NN IN NN         
640    org.drools.core.time.impl.Time  0D Collection of TimerJobFacto  0d collection of TimerJobFacto  NN NN IN NNP        
641    org.quartz.JobExecutionContext  0D Collection of JobExecutionC  0d collection of JobExecutionC  NN NN IN NNP        
642    org.jbpm.process.core.timer.im  0D Collection of GlobalJobHand  0d collection of GlobalJobHand  NN NN IN NNP        
643    org.drools.core.time.TimerServ  0D Collection of TimerService   0d collection of TimerService   NN NN IN NNP        
644    org.jbpm.process.core.timer.Ti  0D Collection of TimerServiceR  0d collection of TimerServiceR  NN NN IN NNP        
645    org.jbpm.process.core.validati  0D Collection of ProcessValida  0d collection of ProcessValida  NN NN IN NNP        
646    org.jbpm.process.core.validati  0D Collection of ProcessValida  0d collection of ProcessValida  NN NN IN NNP        
647    org.jbpm.workflow.instance.Nod  0D Collection of NodeInstanceC  0d collection of NodeInstanceC  NN NN IN NNP        
648    java.util.Map<java.lang.String  1D Map of Long                  1d map of Long                  NN NN IN NNP        
649    java.util.Collection<org.jbpm.  1D Collection of NodeInstance   1d collection of NodeInstance   NN NN IN NNP        
650    org.jbpm.process.instance.Proc  0D Collection of ProcessInstan  0d collection of ProcessInstan  NN NN IN NNP        
651    org.jbpm.process.core.context.  0D Collection of ExceptionScop  0d collection of exceptionscop  NN NN IN NN         
652    java.util.Collection<org.kie.a  1D Collection of NodeInstance   1d collection of NodeInstance   NN NN IN NNP        
653    org.jbpm.process.core.context.  0D Collection of SwimlaneConte  0d collection of swimlaneconte  NN NN IN NN         
654    org.jbpm.process.instance.Cont  0D Collection of ContextInstan  0d collection of ContextInstan  NN NN IN NNP        
655    org.drools.core.marshalling.im  0D Collection of Action         0d collection of Action         NN NN IN NNP        
656    org.drools.core.common.Interna  0D Collection of InternalWorki  0d collection of InternalWorki  NN NN IN NNP        
657    java.io.ObjectInput             0D Collection of ObjectInput    0d collection of ObjectInput    NN NN IN NNP        
658    java.io.ObjectOutput            0D Collection of ObjectOutput   0d collection of ObjectOutput   NN NN IN NNP        
659    org.kie.api.runtime.process.Ev  0D Collection of EventListener  0d collection of EventListener  NN NN IN NNP        
660    org.jbpm.process.instance.even  0D Collection of SignalManager  0d collection of SignalManager  NN NN IN NNP        
661    org.kie.api.runtime.rule.FactH  0D Collection of FactHandle     0d collection of FactHandle     NN NN IN NNP        
662    org.kie.api.runtime.KieRuntime  0D Collection of KieRuntime     0d collection of KieRuntime     NN NN IN NNP        
663    org.jbpm.process.instance.impl  0D Collection of ContextInstan  0d collection of ContextInstan  NN NN IN NNP        
664    java.lang.Class<? extends org.  1D Collection of Context        1d collection of Context        NN NN IN NNP        
665    java.util.Collection<org.kie.a  1D Collection of ProcessInstan  1d collection of ProcessInstan  NN NN IN NNP        
666    org.kie.internal.process.Corre  0D Collection of CorrelationKe  0d collection of CorrelationKe  NN NN IN NNP        
667    org.jbpm.process.instance.Cont  0D Collection of ContextInstan  0d collection of ContextInstan  NN NN IN NNP        
668    org.drools.core.rule.MVELDiale  0D Collection of MVELDialectRu  0d collection of mveldialectru  NN NN IN NN         
669    org.drools.core.definitions.ru  0D Collection of RuleImpl       0d collection of ruleimpl       NN NN IN NN         
670    java.util.List<org.jbpm.proces  1D Collection of ContextInstan  1d collection of ContextInstan  NN NN IN NNP        
671    org.kie.api.runtime.rule.Agend  0D Collection of Agenda         0d collection of Agenda         NN NN IN NNP        
672    org.jbpm.workflow.instance.Nod  0D Collection of NodeInstance   0d collection of NodeInstance   NN NN IN NNP        
673    org.jbpm.process.instance.impl  0D Collection of ReturnValueEv  0d collection of ReturnValueEv  NN NN IN NNP        
674    javax.xml.xpath.XPathFunction   0D Collection of XPathFunction  0d collection of xpathfunction  NN NN IN NN         
675    javax.xml.namespace.QName       0D Collection of QName          0d collection of qname          NN NN IN NN         
676    java.util.Iterator              0D Collection of Iterator       0d collection of Iterator       NN NN IN NNP        
677    org.jbpm.process.instance.Proc  0D Collection of ProcessInstan  0d collection of ProcessInstan  NN NN IN NNP        
678    java.lang.Class<? extends java  1D Collection of Process        1d collection of process        NN NN IN VB         
679    org.jbpm.process.instance.Inte  0D Collection of InternalProce  0d collection of InternalProce  NN NN IN NNP        
680    org.jbpm.process.core.timer.Ti  0D Collection of Timer          0d collection of timer          NN NN IN NN         
681    java.util.List<org.kie.api.eve  1D Collection of ProcessEventL  1d collection of ProcessEventL  NN NN IN NNP        
682    java.util.Collection<java.lang  1D Collection of Process        1d collection of process        NN NN IN VB         
683    java.util.Comparator<java.lang  1D Collection of Process        1d collection of process        NN NN IN VB         
684    org.kie.internal.runtime.Knowl  0D Collection of KnowledgeRunt  0d collection of KnowledgeRunt  NN NN IN NNP        
685    org.drools.core.marshalling.im  0D Collection of Timer          0d collection of timer          NN NN IN NN         
686    java.util.Collection<TimerInst  1D Collection of TimerInstance  1d collection of TimerInstance  NN NN IN NNP        
687    java.util.Map<java.lang.Long,   1D Map of TimerInstance         1d map of TimerInstance         NN NN IN NNP        
688    org.jbpm.ruleflow.core.factory  0D Collection of ActionNodeFac  0d collection of ActionNodeFac  NN NN IN NNP        
689    org.jbpm.process.instance.impl  0D Collection of Action         0d collection of Action         NN NN IN NNP        
690    org.jbpm.ruleflow.core.factory  0D Collection of BoundaryEvent  0d collection of BoundaryEvent  NN NN IN NNP        
691    org.jbpm.process.core.event.Ev  0D Collection of EventFilter    0d collection of EventFilter    NN NN IN NNP        
692    org.jbpm.process.core.event.Ev  0D Collection of EventTransfor  0d collection of EventTransfor  NN NN IN NNP        
693    org.jbpm.workflow.core.node.Bo  0D Collection of BoundaryEvent  0d collection of BoundaryEvent  NN NN IN NNP        
694    org.jbpm.ruleflow.core.RuleFlo  0D Collection of RuleFlowNodeC  0d collection of RuleFlowNodeC  NN NN IN NNP        
695    org.jbpm.ruleflow.core.factory  0D Collection of CompositeNode  0d collection of CompositeNode  NN NN IN NNP        
696    org.jbpm.workflow.core.node.Co  0D Collection of CompositeCont  0d collection of CompositeCont  NN NN IN NNP        
697    org.jbpm.ruleflow.core.factory  0D Collection of DynamicNodeFa  0d collection of DynamicNodeFa  NN NN IN NNP        
698    org.jbpm.workflow.core.node.Dy  0D Collection of DynamicNode    0d collection of DynamicNode    NN NN IN NNP        
699    org.jbpm.ruleflow.core.factory  0D Collection of EndNodeFactor  0d collection of EndNodeFactor  NN NN IN NNP        
700    org.jbpm.ruleflow.core.factory  0D Collection of EventNodeFact  0d collection of EventNodeFact  NN NN IN NNP        
701    org.jbpm.ruleflow.core.factory  0D Collection of FaultNodeFact  0d collection of FaultNodeFact  NN NN IN NNP        
702    org.jbpm.ruleflow.core.factory  0D Collection of ForEachNodeFa  0d collection of ForEachNodeFa  NN NN IN NNP        
703    org.jbpm.ruleflow.core.factory  0D Collection of HumanTaskNode  0d collection of HumanTaskNode  NN NN IN NNP        
704    org.jbpm.ruleflow.core.factory  0D Collection of JoinFactory    0d collection of JoinFactory    NN NN IN NNP        
705    org.jbpm.workflow.core.node.Jo  0D Collection of Join           0d collection of Join           NN NN IN NNP        
706    org.jbpm.ruleflow.core.factory  0D Collection of MilestoneNode  0d collection of MilestoneNode  NN NN IN NNP        
707    org.jbpm.workflow.core.node.Mi  0D Collection of MilestoneNode  0d collection of MilestoneNode  NN NN IN NNP        
708    org.jbpm.ruleflow.core.factory  0D Collection of RuleSetNodeFa  0d collection of RuleSetNodeFa  NN NN IN NNP        
709    org.jbpm.ruleflow.core.factory  0D Collection of SplitFactory   0d collection of SplitFactory   NN NN IN NNP        
710    org.jbpm.workflow.core.node.Sp  0D Collection of Split          0d collection of split          NN NN IN NN         
711    org.jbpm.ruleflow.core.factory  0D Collection of StartNodeFact  0d collection of StartNodeFact  NN NN IN NNP        
712    org.jbpm.ruleflow.core.factory  0D Collection of SubProcessNod  0d collection of SubProcessNod  NN NN IN NNP        
713    org.jbpm.ruleflow.core.factory  0D Collection of TimerNodeFact  0d collection of TimerNodeFact  NN NN IN NNP        
714    org.jbpm.workflow.core.node.Ti  0D Collection of TimerNode      0d collection of TimerNode      NN NN IN NNP        
715    org.jbpm.ruleflow.core.factory  0D Collection of WorkItemNodeF  0d collection of WorkItemNodeF  NN NN IN NNP        
716    java.util.List<org.jbpm.workfl  1D Collection of StartNode      1d collection of StartNode      NN NN IN NNP        
717    org.jbpm.process.core.context.  0D Collection of CompensationS  0d collection of compensations  NN NN IN NN         
718    org.jbpm.ruleflow.core.RuleFlo  0D Collection of RuleFlowProce  0d collection of RuleFlowProce  NN NN IN NNP        
719    org.jbpm.process.core.validati  1D Array of ProcessValidationE  1d array of ProcessValidationE  NN NN IN NNP        
720    org.jbpm.ruleflow.core.validat  0D Collection of RuleFlowProce  0d collection of RuleFlowProce  NN NN IN NNP        
721    java.util.List<org.jbpm.proces  1D Collection of ProcessValida  1d collection of ProcessValida  NN NN IN NNP        
722    java.util.Map<org.kie.api.defi  1D Map of Boolean               1d map of Boolean               NN NN IN NNP        
723    java.util.List<org.jbpm.workfl  1D Collection of DroolsAction   1d collection of DroolsAction   NN NN IN NNP        
724    java.util.Map<ConnectionRef, o  1D Map of Constraint            1d map of constraint            NN NN IN NN         
725    java.util.Map<java.lang.String  2D Map of Connection            2d map of connection            NN NN IN NN         
726    org.jbpm.workflow.core.impl.Co  0D Collection of ConnectionRef  0d collection of connectionref  NN NN IN NN         
727    org.jbpm.workflow.core.node.Co  0D Collection of NodeAndType    0d collection of NodeAndType    NN NN IN NNP        
728    org.jbpm.workflow.core.node.Tr  0D Collection of Transformatio  0d collection of transformatio  NN NN IN NN         
729    org.jbpm.process.core.event.Ev  0D Collection of EventTypeFilt  0d collection of EventTypeFilt  NN NN IN NNP        
730    CompositeNode.NodeAndType       0D Collection of NodeAndType    0d collection of NodeAndType    NN NN IN NNP        
731    org.jbpm.workflow.core.node.Fo  0D Collection of ForEachJoinNo  0d collection of ForEachJoinNo  NN NN IN NNP        
732    org.jbpm.workflow.core.node.Fo  0D Collection of ForEachSplitN  0d collection of ForEachSplitN  NN NN IN NNP        
733    java.util.List<DataAssociation  1D Collection of DataAssociati  1d collection of dataassociati  NN NN IN NN         
734    org.jbpm.workflow.core.node.Da  0D Collection of DataAssociati  0d collection of dataassociati  NN NN IN NN         
735    java.util.Map<org.jbpm.workflo  1D Map of Constraint            1d map of constraint            NN NN IN NN         
736    org.jbpm.workflow.core.node.Tr  0D Collection of Trigger        0d collection of trigger        NN NN IN NN         
737    java.util.Stack<org.jbpm.workf  1D Collection of NodeInstance   1d collection of NodeInstance   NN NN IN NNP        
738    org.jbpm.workflow.instance.Wor  0D Collection of WorkflowProce  0d collection of WorkflowProce  NN NN IN NNP        
739    org.jbpm.workflow.instance.imp  0D Collection of NodeInstanceF  0d collection of NodeInstanceF  NN NN IN NNP        
740    org.jbpm.workflow.instance.imp  0D Collection of NodeInstanceF  0d collection of NodeInstanceF  NN NN IN NNP        
741    java.lang.Class<? extends org.  1D Collection of Node           1d collection of Node           NN NN IN NNP        
742    org.mvel2.integration.Variable  0D Collection of VariableResol  0d collection of VariableResol  NN NN IN NNP        
743    java.util.List<org.jbpm.workfl  1D Collection of NodeInstance   1d collection of NodeInstance   NN NN IN NNP        
744    java.util.concurrent.atomic.At  0D Collection of AtomicLong     0d collection of AtomicLong     NN NN IN NNP        
745    CompositeNode.CompositeNodeEnd  0D Collection of CompositeNode  0d collection of CompositeNode  NN NN IN NNP        
746    CompositeNode.CompositeNodeSta  0D Collection of CompositeNode  0d collection of CompositeNode  NN NN IN NNP        
747    org.jbpm.workflow.instance.nod  0D Collection of DynamicNodeIn  0d collection of DynamicNodeIn  NN NN IN NNP        
748    org.drools.core.impl.StatefulK  0D Collection of StatefulKnowl  0d collection of StatefulKnowl  NN NN IN NNP        
749    org.jbpm.workflow.instance.nod  0D Collection of SubProcessNod  0d collection of SubProcessNod  NN NN IN NNP        
750    org.drools.core.process.instan  0D Collection of WorkItemImpl   0d collection of WorkItemImpl   NN NN IN NNP        
751    org.jbpm.workflow.instance.nod  0D Collection of WorkItemNodeI  0d collection of WorkItemNodeI  NN NN IN NNP        
752    org.jbpm.workflow.core.node.Ev  0D Collection of EventSubProce  0d collection of EventSubProce  NN NN IN NNP        
753    org.jbpm.process.instance.cont  0D Collection of ExceptionScop  0d collection of ExceptionScop  NN NN IN NNP        
754    org.jbpm.process.instance.cont  0D Collection of SwimlaneConte  0d collection of swimlaneconte  NN NN IN NN         
755    java.util.Set<java.lang.Long>   1D Collection of Long           1d collection of Long           NN NN IN NNP        
756    java.util.Map<java.lang.Long,   1D Map of Integer               1d map of integer               NN NN IN NN         
757    org.drools.core.spi.Activation  0D Collection of Activation     0d collection of activation     NN NN IN NN         
758    org.jbpm.workflow.core.node.St  0D Collection of StateBasedNod  0d collection of StateBasedNod  NN NN IN NNP        
759    org.jbpm.workflow.core.node.St  0D Collection of StateNode      0d collection of StateNode      NN NN IN NNP        
760    java.util.List<org.jbpm.workfl  1D Collection of DataAssociati  1d collection of dataassociati  NN NN IN NN         
761    java.util.concurrent.TimeUnit   0D Collection of TimeUnit       0d collection of TimeUnit       NN NN IN NNP        
762    java.util.List<java.lang.Proce  1D Collection of Process        1d collection of process        NN NN IN VB         
763    java.util.Deque<org.kie.api.ru  1D Collection of WorkItem       1d collection of WorkItem       NN NN IN NNP        
764    java.lang.Process[]             1D Array of Process             1d array of process             NN NN IN VB         
765    org.jbpm.workflow.instance.nod  0D Collection of MockNodeInsta  0d collection of MockNodeInsta  NN NN IN NNP        
766    org.jbpm.workflow.core.node.Co  0D Collection of ConstraintTri  0d collection of ConstraintTri  NN NN IN NNP        
767    org.drools.compiler.lang.descr  0D Collection of ProcessDescr   0d collection of ProcessDescr   NN NN IN NNP        
768    java.util.List<ProcessDataEven  1D Collection of ProcessDataEv  1d collection of ProcessDataEv  NN NN IN NNP        
769    java.util.Map<java.lang.String  1D Map of NodeAndType           1d map of NodeAndType           NN NN IN NNP        
770    java.util.HashMap<java.lang.St  1D Map of String                1d map of String                NN NN IN NNP        
771    javax.xml.transform.Transforme  0D Collection of Transformer    0d collection of transformer    NN NN IN NN         
772    javax.xml.transform.Source      0D Collection of Source         0d collection of source         NN NN IN NN         
773    javax.xml.transform.Result      0D Collection of Result         0d collection of result         NN NN IN NN         
774    org.drools.core.process.core.P  0D Collection of ParameterDefi  0d collection of parameterdefi  NN NN IN NN         
775    org.drools.core.process.core.W  0D Collection of Work           0d collection of work           NN NN IN NN         
776    org.xml.sax.InputSource         0D Collection of InputSource    0d collection of InputSource    NN NN IN NNP        
777    org.jbpm.compiler.xml.ProcessB  0D Collection of ProcessBuildD  0d collection of ProcessBuildD  NN NN IN NNP        
778    org.mvel2.templates.TemplateRe  0D Collection of TemplateRegis  0d collection of templateregis  NN NN IN NN         
779    org.drools.compiler.lang.descr  0D Collection of BaseDescr      0d collection of BaseDescr      NN NN IN NNP        
780    org.drools.compiler.rule.build  0D Collection of MVELAnalysisR  0d collection of mvelanalysisr  NN NN IN NN         
781    org.drools.compiler.rule.build  0D Collection of MVELDialect    0d collection of mveldialect    NN NN IN NN         
782    java.util.Map<java.lang.String  2D Map of Class                 2d map of class                 NN NN IN NN         
783    org.jbpm.process.builder.diale  0D Collection of ProcessDialec  0d collection of ProcessDialec  NN NN IN NNP        
784    org.jbpm.compiler.ProcessBuild  0D Collection of ProcessBuilde  0d collection of ProcessBuilde  NN NN IN NNP        
785    org.drools.compiler.compiler.D  0D Collection of DroolsError    0d collection of DroolsError    NN NN IN NNP        
786    org.jbpm.process.builder.Proce  0D Collection of ProcessNodeBu  0d collection of ProcessNodeBu  NN NN IN NNP        
787    java.util.List<java.util.Map<j  2D Map of Object                2d map of Object                NN NN IN NNP        
788    java.util.Map<java.lang.String  1D Map of WorkDefinitionImpl    1d map of WorkDefinitionImpl    NN NN IN NNP        
789    org.jbpm.compiler.KnowledgeTyp  0D Collection of KnowledgeType  0d collection of KnowledgeType  NN NN IN NNP        
790    org.kie.api.runtime.rule.Match  0D Collection of Match          0d collection of Match          NN NN IN NNP        
791    org.jbpm.integrationtests.hand  0D Collection of WorkItem       0d collection of WorkItem       NN NN IN NNP        
792    org.jbpm.integrationtests.hand  0D Collection of WorkItemManag  0d collection of WorkItemManag  NN NN IN NNP        
793    org.kie.api.marshalling.Marsha  0D Collection of Marshaller     0d collection of Marshaller     NN NN IN NNP        
794    org.kie.api.marshalling.Object  1D Array of ObjectMarshallingS  1d array of ObjectMarshallingS  NN NN IN NNP        
795    java.util.List<org.kie.api.eve  1D Collection of ProcessEvent   1d collection of ProcessEvent   NN NN IN NNP        
796    org.kie.api.KieBaseConfigurati  0D Collection of KieBaseConfig  0d collection of KieBaseConfig  NN NN IN NNP        
797    org.jbpm.ruleflow.instance.Rul  0D Collection of RuleFlowProce  0d collection of ruleflowproce  NN NN IN NN         
798    org.kie.internal.definition.Kn  0D Collection of KnowledgePack  0d collection of KnowledgePack  NN NN IN NNP        
799    java.util.Collection<org.kie.i  1D Collection of KnowledgePack  1d collection of KnowledgePack  NN NN IN NNP        
800    org.kie.internal.definition.Kn  1D Array of KnowledgePackage    1d array of KnowledgePackage    NN NN IN NNP        
801    java.lang.Class<org.jbpm.servi  1D Collection of AuditTaskImpl  1d collection of AuditTaskImpl  NN NN IN NNP        
802    java.lang.Class<org.kie.intern  1D Collection of AuditTask      1d collection of AuditTask      NN NN IN NNP        
803    java.util.List<org.jbpm.servic  1D Collection of BAMTaskSummar  1d collection of bamtasksummar  NN NN IN NN         
804    java.util.List<org.kie.interna  1D Collection of AuditTask      1d collection of AuditTask      NN NN IN NNP        
805    java.util.List<org.kie.interna  1D Collection of TaskEvent      1d collection of TaskEvent      NN NN IN NNP        
806    java.util.List<org.kie.interna  1D Collection of TaskVariable   1d collection of TaskVariable   NN NN IN NNP        
