id     identifier                                          splitted_identifier                                 lemma                                               postag                FK_dtid  FK_mid
5410   delay                                               delay                                               delay                                               NN                    4        4199  
5411   period                                              period                                              period                                              NN                    4        4199  
5412   dialect                                             dialect                                             dialect                                             NN                    4        4199  
5413   action                                              action                                              action                                              NN                    4        4199  
5414   name                                                name                                                name                                                NN                    4        4201  
5415   ruleFlowGroup                                       rule flow group                                     rule flow group                                     NN NN NN              4        4202  
5416   delay                                               delay                                               delay                                               NN                    4        4203  
5417   period                                              period                                              period                                              NN                    4        4203  
5418   dialect                                             dialect                                             dialect                                             NN                    4        4203  
5419   action                                              action                                              action                                              NN                    4        4203  
5420   toNodeId                                            to node id                                          to node id                                          TO NN NN              20       4205  
5421   name                                                name                                                name                                                NN                    4        4205  
5422   type                                                type                                                type                                                NN                    4        4205  
5423   dialect                                             dialect                                             dialect                                             NN                    4        4205  
5424   constraint                                          constraint                                          constraint                                          NN                    4        4205  
5425   toNodeId                                            to node id                                          to node id                                          TO NN NN              20       4206  
5426   name                                                name                                                name                                                NN                    4        4206  
5427   type                                                type                                                type                                                NN                    4        4206  
5428   dialect                                             dialect                                             dialect                                             NN                    4        4206  
5429   constraint                                          constraint                                          constraint                                          NN                    4        4206  
5430   priority                                            priority                                            priority                                            NN                    3        4206  
5431   name                                                name                                                name                                                NN                    4        4207  
5432   type                                                type                                                type                                                NN                    3        4208  
5433   name                                                name                                                name                                                NN                    4        4210  
5434   parameterName                                       parameter name                                      parameter name                                      NN NN                 4        4211  
5435   variableName                                        variable name                                       variable name                                       JJ NN                 4        4211  
5436   independent                                         independent                                         independent                                         JJ                    1        4212  
5437   name                                                name                                                name                                                NN                    4        4213  
5438   dialect                                             dialect                                             dialect                                             NN                    4        4214  
5439   action                                              action                                              action                                              NN                    4        4214  
5440   dialect                                             dialect                                             dialect                                             NN                    4        4215  
5441   action                                              action                                              action                                              NN                    4        4215  
5442   parameterName                                       parameter name                                      parameter name                                      NN NN                 4        4216  
5443   variableName                                        variable name                                       variable name                                       JJ NN                 4        4216  
5444   processId                                           process id                                          process id                                          NN NN                 4        4217  
5445   delay                                               delay                                               delay                                               NN                    4        4218  
5446   period                                              period                                              period                                              NN                    4        4218  
5447   dialect                                             dialect                                             dialect                                             NN                    4        4218  
5448   action                                              action                                              action                                              NN                    4        4218  
5449   waitForCompletion                                   wait for completion                                 wait for completion                                 VB IN NN              1        4219  
5450   delay                                               delay                                               delay                                               NN                    4        4221  
5451   name                                                name                                                name                                                NN                    4        4222  
5452   period                                              period                                              period                                              NN                    4        4223  
5453   parameterName                                       parameter name                                      parameter name                                      NN NN                 4        4225  
5454   variableName                                        variable name                                       variable name                                       JJ NN                 4        4225  
5455   name                                                name                                                name                                                NN                    4        4226  
5456   dialect                                             dialect                                             dialect                                             NN                    4        4227  
5457   action                                              action                                              action                                              NN                    4        4227  
5458   dialect                                             dialect                                             dialect                                             NN                    4        4228  
5459   action                                              action                                              action                                              NN                    4        4228  
5460   parameterName                                       parameter name                                      parameter name                                      NN NN                 4        4229  
5461   variableName                                        variable name                                       variable name                                       JJ NN                 4        4229  
5462   delay                                               delay                                               delay                                               NN                    4        4230  
5463   period                                              period                                              period                                              NN                    4        4230  
5464   dialect                                             dialect                                             dialect                                             NN                    4        4230  
5465   action                                              action                                              action                                              NN                    4        4230  
5466   waitForCompletion                                   wait for completion                                 wait for completion                                 VB IN NN              1        4231  
5467   name                                                name                                                name                                                NN                    4        4232  
5468   name                                                name                                                name                                                NN                    4        4233  
5469   value                                               value                                               value                                               NN                    2        4233  
5470   name                                                name                                                name                                                NN                    4        4234  
5471   dataType                                            data type                                           datum type                                          NNS NN                202      4234  
5472   fromId                                              from id                                             from id                                             IN NN                 20       4236  
5473   toId                                                to id                                               to id                                               TO VB                 20       4236  
5474   node                                                node                                                node                                                NN                    241      4237  
5475   nodes                                               nodes                                               node                                                NNS                   232      4240  
5476   trigger                                             trigger                                             trigger                                             NN                    4        4243  
5477   id                                                  id                                                  id                                                  NN                    4        4247  
5478   exception                                           exception                                           exception                                           NN                    4        4248  
5479   dialect                                             dialect                                             dialect                                             NN                    4        4248  
5480   action                                              action                                              action                                              NN                    4        4248  
5481   exception                                           exception                                           exception                                           NN                    4        4249  
5482   exceptionHandler                                    exception handler                                   exception handler                                   NN NN                 618      4249  
5483   functionImports                                     function imports                                    function import                                     NN NNS                34       4250  
5484   name                                                name                                                name                                                NN                    4        4251  
5485   type                                                type                                                type                                                NN                    4        4251  
5486   globals                                             globals                                             global                                              NNS                   223      4252  
5487   imports                                             imports                                             import                                              NNS                   34       4253  
5488   name                                                name                                                name                                                NN                    4        4254  
5489   packageName                                         package name                                        package name                                        NN NN                 4        4255  
5490   name                                                name                                                name                                                NN                    4        4256  
5491   name                                                name                                                name                                                NN                    4        4258  
5492   type                                                type                                                type                                                NN                    202      4258  
5493   name                                                name                                                name                                                NN                    4        4259  
5494   type                                                type                                                type                                                NN                    202      4259  
5495   value                                               value                                               value                                               NN                    2        4259  
5496   name                                                name                                                name                                                NN                    4        4260  
5497   type                                                type                                                type                                                NN                    202      4260  
5498   value                                               value                                               value                                               NN                    2        4260  
5499   metaDataName                                        meta data name                                      meta datum name                                     NN NNS NN             4        4260  
5500   metaDataValue                                       meta data value                                     meta datum value                                    NN NNS NN             2        4260  
5501   name                                                name                                                name                                                NN                    4        4261  
5502   type                                                type                                                type                                                NN                    202      4261  
5503   metaDataName                                        meta data name                                      meta datum name                                     NN NNS NN             4        4261  
5504   metaDataValue                                       meta data value                                     meta datum value                                    NN NNS NN             2        4261  
5505   version                                             version                                             version                                             NN                    4        4262  
5506   process                                             process                                             process                                             NN                    37       4263  
5507   resource                                            resource                                            resource                                            NN                    537      4263  
5508   node                                                node                                                node                                                NN                    241      4264  
5509   node                                                node                                                node                                                NN                    241      4265  
5510   process                                             process                                             process                                             NN                    37       4267  
5511   process                                             process                                             process                                             NN                    242      4268  
5512   process                                             process                                             process                                             NN                    242      4270  
5513   node                                                node                                                node                                                NN                    241      4270  
5514   errors                                              errors                                              error                                               NNS                   721      4270  
5515   message                                             message                                             message                                             NN                    4        4270  
5516   container                                           container                                           container                                           NN                    238      4271  
5517   isDynamic                                           is dynamic                                          be dynamic                                          VBZ JJ                1        4271  
5518   errors                                              errors                                              error                                               NNS                   721      4271  
5519   process                                             process                                             process                                             NN                    242      4271  
5520   node                                                node                                                node                                                NN                    241      4272  
5521   nodes                                               nodes                                               node                                                NNS                   722      4272  
5522   node                                                node                                                node                                                NN                    241      4273  
5523   process                                             process                                             process                                             NN                    242      4273  
5524   errors                                              errors                                              error                                               NNS                   721      4273  
5525   nodes                                               nodes                                               node                                                NNS                   232      4274  
5526   errors                                              errors                                              error                                               NNS                   721      4274  
5527   process                                             process                                             process                                             NN                    242      4274  
5528   timer                                               timer                                               timer                                               NN                    680      4275  
5529   node                                                node                                                node                                                NN                    241      4275  
5530   process                                             process                                             process                                             NN                    242      4275  
5531   errors                                              errors                                              error                                               NNS                   721      4275  
5532   errors                                              errors                                              error                                               NNS                   721      4276  
5533   process                                             process                                             process                                             NN                    242      4276  
5534   trigger                                             trigger                                             trigger                                             NN                    4        4277  
5535   in                                                  in                                                  in                                                  IN                    657      3984  
5536   out                                                 out                                                 out                                                 IN                    658      3986  
5537   name                                                name                                                name                                                NN                    4        3879  
5538   in                                                  in                                                  in                                                  IN                    657      3984  
5539   name                                                name                                                name                                                NN                    4        1992  
5540   value                                               value                                               value                                               NN                    2        1992  
5541   object                                              object                                              object                                              NN                    2        4038  
5542   out                                                 out                                                 out                                                 IN                    658      3986  
5543   name                                                name                                                name                                                NN                    4        3879  
5544   name                                                name                                                name                                                NN                    4        1992  
5545   value                                               value                                               value                                               NN                    2        1992  
5546   o                                                   o                                                   o                                                   NN                    2        1     
5547   name                                                name                                                name                                                NN                    4        3879  
5548   name                                                name                                                name                                                NN                    4        1992  
5549   value                                               value                                               value                                               NN                    2        1992  
5550   in                                                  in                                                  in                                                  IN                    657      3984  
5551   out                                                 out                                                 out                                                 IN                    658      3986  
5552   type                                                type                                                type                                                NN                    4        4287  
5553   type                                                type                                                type                                                NN                    4        4288  
5554   actions                                             actions                                             action                                              NNS                   723      4288  
5555   contextId                                           context id                                          context id                                          NN NN                 4        3895  
5556   param                                               param                                               param                                               NN                    2        3895  
5557   id                                                  id                                                  id                                                  NN                    20       4290  
5558   id                                                  id                                                  id                                                  NN                    20       4291  
5559   node                                                node                                                node                                                NN                    241      4292  
5560   node                                                node                                                node                                                NN                    241      4293  
5561   node                                                node                                                node                                                NN                    241      4237  
5562   node                                                node                                                node                                                NN                    241      4294  
5563   name                                                name                                                name                                                NN                    4        3879  
5564   type                                                type                                                type                                                NN                    4        4298  
5565   type                                                type                                                type                                                NN                    4        4299  
5566   contextId                                           context id                                          context id                                          NN NN                 4        4303  
5567   contextId                                           context id                                          context id                                          NN NN                 4        3895  
5568   param                                               param                                               param                                               NN                    2        3895  
5569   connection                                          connection                                          connection                                          NN                    252      4304  
5570   ref                                                 ref                                                 ref                                                 NN                    726      4305  
5571   connectionRef                                       connection ref                                      connection ref                                      NN NN                 726      4308  
5572   constraint                                          constraint                                          constraint                                          NN                    239      4308  
5573   type                                                type                                                type                                                NN                    4        4309  
5574   connection                                          connection                                          connection                                          NN                    252      4309  
5575   type                                                type                                                type                                                NN                    4        4310  
5576   connection                                          connection                                          connection                                          NN                    252      4310  
5577   type                                                type                                                type                                                NN                    4        4313  
5578   connection                                          connection                                          connection                                          NN                    252      4313  
5579   type                                                type                                                type                                                NN                    4        4314  
5580   connection                                          connection                                          connection                                          NN                    252      4314  
5581   connection                                          connection                                          connection                                          NN                    252      4315  
5582   constraint                                          constraint                                          constraint                                          NN                    239      4315  
5583   contextId                                           context id                                          context id                                          NN NN                 4        4316  
5584   context                                             context                                             context                                             NN                    617      4316  
5585   id                                                  id                                                  id                                                  NN                    20       4317  
5586   name                                                name                                                name                                                NN                    4        1992  
5587   value                                               value                                               value                                               NN                    2        1992  
5588   type                                                type                                                type                                                NN                    4        4318  
5589   connection                                          connection                                          connection                                          NN                    252      4318  
5590   type                                                type                                                type                                                NN                    4        4319  
5591   connection                                          connection                                          connection                                          NN                    252      4319  
5592   type                                                type                                                type                                                NN                    4        4320  
5593   connection                                          connection                                          connection                                          NN                    252      4320  
5594   type                                                type                                                type                                                NN                    4        4321  
5595   connection                                          connection                                          connection                                          NN                    252      4321  
5596   id                                                  id                                                  id                                                  NN                    20       4290  
5597   id                                                  id                                                  id                                                  NN                    20       4291  
5598   node                                                node                                                node                                                NN                    241      4292  
5599   node                                                node                                                node                                                NN                    241      4293  
5600   type                                                type                                                type                                                NN                    4        4318  
5601   connection                                          connection                                          connection                                          NN                    252      4318  
5602   type                                                type                                                type                                                NN                    4        4319  
5603   connection                                          connection                                          connection                                          NN                    252      4319  
5604   name                                                name                                                name                                                NN                    4        3879  
5605   name                                                name                                                name                                                NN                    4        1992  
5606   value                                               value                                               value                                               NN                    2        1992  
5607   name                                                name                                                name                                                NN                    4        3879  
5608   contextType                                         context type                                        context type                                        NN NN                 4        3887  
5609   contextType                                         context type                                        context type                                        NN NN                 4        3888  
5610   id                                                  id                                                  id                                                  NN                    20       3888  
5611   contextType                                         context type                                        context type                                        NN NN                 4        3889  
5612   contextId                                           context id                                          context id                                          NN NN                 4        3895  
5613   param                                               param                                               param                                               NN                    2        3895  
5614   context                                             context                                             context                                             NN                    617      3890  
5615   context                                             context                                             context                                             NN                    617      3899  
5616   o                                                   o                                                   o                                                   NN                    2        1     
5617   type                                                type                                                type                                                NN                    4        3885  
5618   event                                               event                                               event                                               NN                    2        3885  
5619   inType                                              in type                                             in type                                             IN NN                 4        4327  
5620   outType                                             out type                                            out type                                            IN NN                 4        4328  
5621   inType                                              in type                                             in type                                             IN NN                 4        4329  
5622   outType                                             out type                                            out type                                            IN NN                 4        4330  
5623   id                                                  id                                                  id                                                  NN                    20       4290  
5624   id                                                  id                                                  id                                                  NN                    20       4291  
5625   type                                                type                                                type                                                NN                    4        4309  
5626   connection                                          connection                                          connection                                          NN                    252      4309  
5627   node                                                node                                                node                                                NN                    241      4292  
5628   type                                                type                                                type                                                NN                    4        4310  
5629   connection                                          connection                                          connection                                          NN                    252      4310  
5630   node                                                node                                                node                                                NN                    241      4331  
5631   node                                                node                                                node                                                NN                    241      4332  
5632   inType                                              in type                                             in type                                             IN NN                 4        4333  
5633   inNodeId                                            in node id                                          in node id                                          IN NN NN              20       4333  
