id     identifier                                          splitted_identifier                                 lemma                                               postag                FK_dtid  FK_mid
193    files                                               files                                               file                                                NNS                   8        89    
194    filter                                              filter                                              filter                                              NN                    24       90    
195    files                                               files                                               file                                                NNS                   27       90    
196    filter                                              filter                                              filter                                              NN                    24       91    
197    files                                               files                                               file                                                NNS                   8        91    
198    filter                                              filter                                              filter                                              NN                    24       92    
199    files                                               files                                               file                                                NNS                   27       92    
200    filters                                             filters                                             filter                                              NNS                   28       93    
201    filter                                              filter                                              filter                                              NN                    24       94    
202    files                                               files                                               file                                                NNS                   8        94    
203    filter                                              filter                                              filter                                              NN                    24       95    
204    files                                               files                                               file                                                NNS                   27       95    
205    cutoffReference                                     cutoff reference                                    cutoff reference                                    NN NN                 10       96    
206    cutoffReference                                     cutoff reference                                    cutoff reference                                    NN NN                 10       97    
207    acceptOlder                                         accept older                                        accept older                                        VB JJR                1        97    
208    cutoffDate                                          cutoff date                                         cutoff date                                         NN NN                 30       98    
209    cutoffDate                                          cutoff date                                         cutoff date                                         NN NN                 30       99    
210    acceptOlder                                         accept older                                        accept older                                        VB JJR                1        99    
211    cutoff                                              cutoff                                              cutoff                                              NN                    20       100   
212    cutoff                                              cutoff                                              cutoff                                              NN                    20       101   
213    acceptOlder                                         accept older                                        accept older                                        VB JJR                1        101   
214    filters                                             filters                                             filter                                              NNS                   28       102   
215    filter1                                             filter1                                             filter1                                             NN                    24       103   
216    filter2                                             filter2                                             filter2                                             NN                    24       103   
217    filter                                              filter                                              filter                                              NN                    31       104   
218    filter                                              filter                                              filter                                              NN                    32       105   
219    magicNumber                                         magic number                                        magic number                                        JJ NN                 5        109   
220    magicNumber                                         magic number                                        magic number                                        JJ NN                 5        110   
221    offset                                              offset                                              offset                                              VBN                   20       110   
222    magicNumber                                         magic number                                        magic number                                        JJ NN                 4        111   
