id     signature                                                                                             identifier                                                                                            splitted_identifier                                                                                   lemma                                               posta  FK_dt
2634   bpsim.impl.BetaDistributionType createBetaDistributionType()                                          createBetaDistributionType                                                                            create beta distribution type                                                                         create beta distribution type                       VB NN  301  
2635   bpsim.impl.BinomialDistributionType createBinomialDistributionType()                                  createBinomialDistributionType                                                                        create binomial distribution type                                                                     create binomial distribution type                   VB JJ  302  
2636   bpsim.impl.BooleanParameterType createBooleanParameterType()                                          createBooleanParameterType                                                                            create boolean parameter type                                                                         create boolean parameter type                       VB NN  303  
2637   bpsim.impl.BpsimFactory init()                                                                        init                                                                                                  init                                                                                                  init                                                NN     304  
2638   bpsim.impl.BpsimPackage getBpsimPackage()                                                             getBpsimPackage                                                                                       get bpsim package                                                                                     get bpsim package                                   VB JJ  305  
2639   bpsim.impl.BpsimPackage getPackage()                                                                  getPackage                                                                                            get package                                                                                           get package                                         VB NN  305  
2640   bpsim.impl.Calendar createCalendar()                                                                  createCalendar                                                                                        create calendar                                                                                       create calendar                                     VB NN  306  
2641   bpsim.impl.ConstantParameter createConstantParameter()                                                createConstantParameter                                                                               create constant parameter                                                                             create constant parameter                           VB JJ  307  
2642   bpsim.impl.ControlParameters createControlParameters()                                                createControlParameters                                                                               create control parameters                                                                             create control parameter                            VB NN  308  
2643   bpsim.impl.CostParameters createCostParameters()                                                      createCostParameters                                                                                  create cost parameters                                                                                create cost parameter                               VB NN  309  
2644   bpsim.impl.DateTimeParameterType createDateTimeParameterType()                                        createDateTimeParameterType                                                                           create date time parameter type                                                                       create date time parameter type                     VB NN  310  
2645   bpsim.impl.DistributionParameter createDistributionParameter()                                        createDistributionParameter                                                                           create distribution parameter                                                                         create distribution parameter                       VB NN  311  
2646   bpsim.impl.DocumentRoot createDocumentRoot()                                                          createDocumentRoot                                                                                    create document root                                                                                  create document root                                VB NN  312  
2647   bpsim.impl.DurationParameterType createDurationParameterType()                                        createDurationParameterType                                                                           create duration parameter type                                                                        create duration parameter type                      VB NN  313  
2648   bpsim.impl.ElementParameters createElementParameters()                                                createElementParameters                                                                               create element parameters                                                                             create element parameter                            VB NN  314  
2649   bpsim.impl.ElementParametersType createElementParametersType()                                        createElementParametersType                                                                           create element parameters type                                                                        create element parameter type                       VB NN  315  
2650   bpsim.impl.EnumParameterType createEnumParameterType()                                                createEnumParameterType                                                                               create enum parameter type                                                                            create enum parameter type                          VB NN  316  
2651   bpsim.impl.ErlangDistributionType createErlangDistributionType()                                      createErlangDistributionType                                                                          create erlang distribution type                                                                       create erlang distribution type                     VB JJ  317  
2652   bpsim.impl.ExpressionParameterType createExpressionParameterType()                                    createExpressionParameterType                                                                         create expression parameter type                                                                      create expression parameter type                    VB NN  318  
2653   bpsim.impl.FloatingParameterType createFloatingParameterType()                                        createFloatingParameterType                                                                           create floating parameter type                                                                        create float parameter type                         VB VB  319  
2654   bpsim.impl.GammaDistributionType createGammaDistributionType()                                        createGammaDistributionType                                                                           create gamma distribution type                                                                        create gamma distribution type                      VB NN  320  
2655   bpsim.impl.LogNormalDistributionType createLogNormalDistributionType()                                createLogNormalDistributionType                                                                       create log normal distribution type                                                                   create log normal distribution type                 VB NN  321  
2656   bpsim.impl.NegativeExponentialDistributionType createNegativeExponentialDistributionType()            createNegativeExponentialDistributionType                                                             create negative exponential distribution type                                                         create negative exponential distribution type       VB JJ  322  
2657   bpsim.impl.NormalDistributionType createNormalDistributionType()                                      createNormalDistributionType                                                                          create normal distribution type                                                                       create normal distribution type                     VB JJ  323  
2658   bpsim.impl.NumericParameterType createNumericParameterType()                                          createNumericParameterType                                                                            create numeric parameter type                                                                         create numeric parameter type                       VB JJ  324  
2659   bpsim.impl.Parameter createParameter()                                                                createParameter                                                                                       create parameter                                                                                      create parameter                                    VB NN  325  
2660   bpsim.impl.ParameterValue createParameterValue()                                                      createParameterValue                                                                                  create parameter value                                                                                create parameter value                              VB NN  326  
2661   bpsim.impl.PoissonDistributionType createPoissonDistributionType()                                    createPoissonDistributionType                                                                         create poisson distribution type                                                                      create poisson distribution type                    VB NN  327  
2662   bpsim.impl.PriorityParameters createPriorityParameters()                                              createPriorityParameters                                                                              create priority parameters                                                                            create priority parameter                           VB NN  328  
2663   bpsim.impl.PropertyParameters createPropertyParameters()                                              createPropertyParameters                                                                              create property parameters                                                                            create property parameter                           VB NN  329  
2664   bpsim.impl.PropertyType createPropertyType()                                                          createPropertyType                                                                                    create property type                                                                                  create property type                                VB NN  330  
2665   bpsim.impl.ResourceParameters createResourceParameters()                                              createResourceParameters                                                                              create resource parameters                                                                            create resource parameter                           VB NN  331  
2666   bpsim.impl.ResultType createResultTypeFromString(org.eclipse.emf.ecore.EDataType,java.lang.String)    createResultTypeFromString                                                                            create result type from string                                                                        create result type from string                      VB NN  332  
2667   bpsim.impl.ResultType createResultTypeObjectFromString(org.eclipse.emf.ecore.EDataType,java.lang.Str  createResultTypeObjectFromString                                                                      create result type object from string                                                                 create result type object from string               VB NN  332  
2668   bpsim.impl.Scenario createScenario()                                                                  createScenario                                                                                        create scenario                                                                                       create scenario                                     VB NN  334  
2669   bpsim.impl.ScenarioParameters createScenarioParameters()                                              createScenarioParameters                                                                              create scenario parameters                                                                            create scenario parameter                           VB NN  335  
2670   bpsim.impl.ScenarioParametersType createScenarioParametersType()                                      createScenarioParametersType                                                                          create scenario parameters type                                                                       create scenario parameter type                      VB NN  336  
2671   bpsim.impl.StringParameterType createStringParameterType()                                            createStringParameterType                                                                             create string parameter type                                                                          create string parameter type                        VB NN  337  
2672   bpsim.impl.TimeParameters createTimeParameters()                                                      createTimeParameters                                                                                  create time parameters                                                                                create time parameter                               VB NN  338  
2673   bpsim.impl.TimeUnit createTimeUnitFromString(org.eclipse.emf.ecore.EDataType,java.lang.String)        createTimeUnitFromString                                                                              create time unit from string                                                                          create time unit from string                        VB NN  339  
2674   bpsim.impl.TimeUnit createTimeUnitObjectFromString(org.eclipse.emf.ecore.EDataType,java.lang.String)  createTimeUnitObjectFromString                                                                        create time unit object from string                                                                   create time unit object from string                 VB NN  339  
2675   bpsim.impl.TriangularDistributionType createTriangularDistributionType()                              createTriangularDistributionType                                                                      create triangular distribution type                                                                   create triangular distribution type                 VB JJ  340  
2676   bpsim.impl.TruncatedNormalDistributionType createTruncatedNormalDistributionType()                    createTruncatedNormalDistributionType                                                                 create truncated normal distribution type                                                             create truncate normal distribution type            VB VB  341  
2677   bpsim.impl.UniformDistributionType createUniformDistributionType()                                    createUniformDistributionType                                                                         create uniform distribution type                                                                      create uniform distribution type                    VB JJ  342  
2678   bpsim.impl.UserDistributionDataPointType createUserDistributionDataPointType()                        createUserDistributionDataPointType                                                                   create user distribution data point type                                                              create user distribution datum point type           VB NN  343  
2679   bpsim.impl.UserDistributionType createUserDistributionType()                                          createUserDistributionType                                                                            create user distribution type                                                                         create user distribution type                       VB NN  344  
2680   bpsim.impl.VendorExtension createVendorExtension()                                                    createVendorExtension                                                                                 create vendor extension                                                                               create vendor extension                             VB NN  345  
2681   bpsim.impl.WeibullDistributionType createWeibullDistributionType()                                    createWeibullDistributionType                                                                         create weibull distribution type                                                                      create weibull distribution type                    VB NN  346  
2682   java.lang.Object createFromString(org.eclipse.emf.ecore.EDataType,java.lang.String)                   createFromString                                                                                      create from string                                                                                    create from string                                  VB IN  2    
2683   java.lang.String convertResultTypeObjectToString(org.eclipse.emf.ecore.EDataType,java.lang.Object)    convertResultTypeObjectToString                                                                       convert result type object to string                                                                  convert result type object to string                VB NN  4    
2684   java.lang.String convertResultTypeToString(org.eclipse.emf.ecore.EDataType,java.lang.Object)          convertResultTypeToString                                                                             convert result type to string                                                                         convert result type to string                       VB NN  4    
2685   java.lang.String convertTimeUnitObjectToString(org.eclipse.emf.ecore.EDataType,java.lang.Object)      convertTimeUnitObjectToString                                                                         convert time unit object to string                                                                    convert time unit object to string                  VB NN  4    
2686   java.lang.String convertTimeUnitToString(org.eclipse.emf.ecore.EDataType,java.lang.Object)            convertTimeUnitToString                                                                               convert time unit to string                                                                           convert time unit to string                         VB NN  4    
2687   java.lang.String convertToString(org.eclipse.emf.ecore.EDataType,java.lang.Object)                    convertToString                                                                                       convert to string                                                                                     convert to string                                   VB TO  4    
2688   org.eclipse.emf.ecore.EObject create(org.eclipse.emf.ecore.EClass)                                    create                                                                                                create                                                                                                create                                              VB     347  
2689   bpsim.BpsimFactory getBpsimFactory()                                                                  getBpsimFactory                                                                                       get bpsim factory                                                                                     get bpsim factory                                   VB FW  348  
2690   bpsim.BpsimPackage init()                                                                             init                                                                                                  init                                                                                                  init                                                NN     349  
2691   org.eclipse.emf.ecore.EAttribute getBPSimDataType_Group()                                             getBPSimDataType_Group                                                                                get bps im data type group                                                                            get bp im datum type group                          VB NN  350  
2692   org.eclipse.emf.ecore.EAttribute getBetaDistributionType_Scale()                                      getBetaDistributionType_Scale                                                                         get beta distribution type scale                                                                      get beta distribution type scale                    VB NN  350  
2693   org.eclipse.emf.ecore.EAttribute getBetaDistributionType_Shape()                                      getBetaDistributionType_Shape                                                                         get beta distribution type shape                                                                      get beta distribution type shape                    VB NN  350  
2694   org.eclipse.emf.ecore.EAttribute getBinomialDistributionType_Probability()                            getBinomialDistributionType_Probability                                                               get binomial distribution type probability                                                            get binomial distribution type probability          VB JJ  350  
2695   org.eclipse.emf.ecore.EAttribute getBinomialDistributionType_Trials()                                 getBinomialDistributionType_Trials                                                                    get binomial distribution type trials                                                                 get binomial distribution type trial                VB JJ  350  
2696   org.eclipse.emf.ecore.EAttribute getBooleanParameterType_Value()                                      getBooleanParameterType_Value                                                                         get boolean parameter type value                                                                      get boolean parameter type value                    VB JJ  350  
2697   org.eclipse.emf.ecore.EAttribute getCalendar_Id()                                                     getCalendar_Id                                                                                        get calendar id                                                                                       get calendar id                                     VB NN  350  
2698   org.eclipse.emf.ecore.EAttribute getCalendar_Name()                                                   getCalendar_Name                                                                                      get calendar name                                                                                     get calendar name                                   VB NN  350  
2699   org.eclipse.emf.ecore.EAttribute getCalendar_Value()                                                  getCalendar_Value                                                                                     get calendar value                                                                                    get calendar value                                  VB NN  350  
2700   org.eclipse.emf.ecore.EAttribute getDateTimeParameterType_Value()                                     getDateTimeParameterType_Value                                                                        get date time parameter type value                                                                    get date time parameter type value                  VB NN  350  
2701   org.eclipse.emf.ecore.EAttribute getDistributionParameter_CurrencyUnit()                              getDistributionParameter_CurrencyUnit                                                                 get distribution parameter currency unit                                                              get distribution parameter currency unit            VB NN  350  
2702   org.eclipse.emf.ecore.EAttribute getDistributionParameter_TimeUnit()                                  getDistributionParameter_TimeUnit                                                                     get distribution parameter time unit                                                                  get distribution parameter time unit                VB NN  350  
2703   org.eclipse.emf.ecore.EAttribute getDocumentRoot_Mixed()                                              getDocumentRoot_Mixed                                                                                 get document root mixed                                                                               get document root mixed                             VB NN  350  
2704   org.eclipse.emf.ecore.EAttribute getDurationParameterType_Value()                                     getDurationParameterType_Value                                                                        get duration parameter type value                                                                     get duration parameter type value                   VB NN  350  
2705   org.eclipse.emf.ecore.EAttribute getElementParameters_ElementRef()                                    getElementParameters_ElementRef                                                                       get element parameters element ref                                                                    get element parameter element ref                   VB NN  350  
2706   org.eclipse.emf.ecore.EAttribute getElementParameters_Id()                                            getElementParameters_Id                                                                               get element parameters id                                                                             get element parameter id                            VB NN  350  
2707   org.eclipse.emf.ecore.EAttribute getEnumParameterType_Group()                                         getEnumParameterType_Group                                                                            get enum parameter type group                                                                         get enum parameter type group                       VB FW  350  
2708   org.eclipse.emf.ecore.EAttribute getEnumParameterType_ParameterValueGroup()                           getEnumParameterType_ParameterValueGroup                                                              get enum parameter type parameter value group                                                         get enum parameter type parameter value group       VB FW  350  
2709   org.eclipse.emf.ecore.EAttribute getErlangDistributionType_K()                                        getErlangDistributionType_K                                                                           get erlang distribution type k                                                                        get erlang distribution type k                      VB JJ  350  
2710   org.eclipse.emf.ecore.EAttribute getErlangDistributionType_Mean()                                     getErlangDistributionType_Mean                                                                        get erlang distribution type mean                                                                     get erlang distribution type mean                   VB JJ  350  
2711   org.eclipse.emf.ecore.EAttribute getExpressionParameterType_Value()                                   getExpressionParameterType_Value                                                                      get expression parameter type value                                                                   get expression parameter type value                 VB NN  350  
2712   org.eclipse.emf.ecore.EAttribute getFloatingParameterType_CurrencyUnit()                              getFloatingParameterType_CurrencyUnit                                                                 get floating parameter type currency unit                                                             get float parameter type currency unit              VB VB  350  
2713   org.eclipse.emf.ecore.EAttribute getFloatingParameterType_TimeUnit()                                  getFloatingParameterType_TimeUnit                                                                     get floating parameter type time unit                                                                 get float parameter type time unit                  VB VB  350  
2714   org.eclipse.emf.ecore.EAttribute getFloatingParameterType_Value()                                     getFloatingParameterType_Value                                                                        get floating parameter type value                                                                     get float parameter type value                      VB VB  350  
2715   org.eclipse.emf.ecore.EAttribute getGammaDistributionType_Scale()                                     getGammaDistributionType_Scale                                                                        get gamma distribution type scale                                                                     get gamma distribution type scale                   VB NN  350  
2716   org.eclipse.emf.ecore.EAttribute getGammaDistributionType_Shape()                                     getGammaDistributionType_Shape                                                                        get gamma distribution type shape                                                                     get gamma distribution type shape                   VB NN  350  
2717   org.eclipse.emf.ecore.EAttribute getLogNormalDistributionType_Mean()                                  getLogNormalDistributionType_Mean                                                                     get log normal distribution type mean                                                                 get log normal distribution type mean               VB NN  350  
2718   org.eclipse.emf.ecore.EAttribute getLogNormalDistributionType_StandardDeviation()                     getLogNormalDistributionType_StandardDeviation                                                        get log normal distribution type standard deviation                                                   get log normal distribution type standard deviatio  VB NN  350  
2719   org.eclipse.emf.ecore.EAttribute getNegativeExponentialDistributionType_Mean()                        getNegativeExponentialDistributionType_Mean                                                           get negative exponential distribution type mean                                                       get negative exponential distribution type mean     VB JJ  350  
2720   org.eclipse.emf.ecore.EAttribute getNormalDistributionType_Mean()                                     getNormalDistributionType_Mean                                                                        get normal distribution type mean                                                                     get normal distribution type mean                   VB JJ  350  
2721   org.eclipse.emf.ecore.EAttribute getNormalDistributionType_StandardDeviation()                        getNormalDistributionType_StandardDeviation                                                           get normal distribution type standard deviation                                                       get normal distribution type standard deviation     VB JJ  350  
2722   org.eclipse.emf.ecore.EAttribute getNumericParameterType_CurrencyUnit()                               getNumericParameterType_CurrencyUnit                                                                  get numeric parameter type currency unit                                                              get numeric parameter type currency unit            VB JJ  350  
2723   org.eclipse.emf.ecore.EAttribute getNumericParameterType_TimeUnit()                                   getNumericParameterType_TimeUnit                                                                      get numeric parameter type time unit                                                                  get numeric parameter type time unit                VB JJ  350  
2724   org.eclipse.emf.ecore.EAttribute getNumericParameterType_Value()                                      getNumericParameterType_Value                                                                         get numeric parameter type value                                                                      get numeric parameter type value                    VB JJ  350  
2725   org.eclipse.emf.ecore.EAttribute getParameterValue_Instance()                                         getParameterValue_Instance                                                                            get parameter value instance                                                                          get parameter value instance                        VB NN  350  
2726   org.eclipse.emf.ecore.EAttribute getParameterValue_Result()                                           getParameterValue_Result                                                                              get parameter value result                                                                            get parameter value result                          VB NN  350  
2727   org.eclipse.emf.ecore.EAttribute getParameterValue_ValidFor()                                         getParameterValue_ValidFor                                                                            get parameter value valid for                                                                         get parameter value valid for                       VB NN  350  
2728   org.eclipse.emf.ecore.EAttribute getParameter_Kpi()                                                   getParameter_Kpi                                                                                      get parameter kpi                                                                                     get parameter kpus                                  VB NN  350  
2729   org.eclipse.emf.ecore.EAttribute getParameter_ParameterValueGroup()                                   getParameter_ParameterValueGroup                                                                      get parameter parameter value group                                                                   get parameter parameter value group                 VB NN  350  
2730   org.eclipse.emf.ecore.EAttribute getParameter_ResultRequest()                                         getParameter_ResultRequest                                                                            get parameter result request                                                                          get parameter result request                        VB NN  350  
2731   org.eclipse.emf.ecore.EAttribute getParameter_Sla()                                                   getParameter_Sla                                                                                      get parameter sla                                                                                     get parameter sla                                   VB NN  350  
2732   org.eclipse.emf.ecore.EAttribute getPoissonDistributionType_Mean()                                    getPoissonDistributionType_Mean                                                                       get poisson distribution type mean                                                                    get poisson distribution type mean                  VB NN  350  
2733   org.eclipse.emf.ecore.EAttribute getPropertyType_Name()                                               getPropertyType_Name                                                                                  get property type name                                                                                get property type name                              VB NN  350  
2734   org.eclipse.emf.ecore.EAttribute getScenarioParameters_BaseCurrencyUnit()                             getScenarioParameters_BaseCurrencyUnit                                                                get scenario parameters base currency unit                                                            get scenario parameter base currency unit           VB NN  350  
2735   org.eclipse.emf.ecore.EAttribute getScenarioParameters_BaseTimeUnit()                                 getScenarioParameters_BaseTimeUnit                                                                    get scenario parameters base time unit                                                                get scenario parameter base time unit               VB NN  350  
2736   org.eclipse.emf.ecore.EAttribute getScenarioParameters_Replication()                                  getScenarioParameters_Replication                                                                     get scenario parameters replication                                                                   get scenario parameter replication                  VB NN  350  
2737   org.eclipse.emf.ecore.EAttribute getScenarioParameters_Seed()                                         getScenarioParameters_Seed                                                                            get scenario parameters seed                                                                          get scenario parameter seed                         VB NN  350  
2738   org.eclipse.emf.ecore.EAttribute getScenario_Author()                                                 getScenario_Author                                                                                    get scenario author                                                                                   get scenario author                                 VB NN  350  
2739   org.eclipse.emf.ecore.EAttribute getScenario_Created()                                                getScenario_Created                                                                                   get scenario created                                                                                  get scenario create                                 VB NN  350  
2740   org.eclipse.emf.ecore.EAttribute getScenario_Description()                                            getScenario_Description                                                                               get scenario description                                                                              get scenario description                            VB NN  350  
2741   org.eclipse.emf.ecore.EAttribute getScenario_Id()                                                     getScenario_Id                                                                                        get scenario id                                                                                       get scenario id                                     VB NN  350  
2742   org.eclipse.emf.ecore.EAttribute getScenario_Inherits()                                               getScenario_Inherits                                                                                  get scenario inherits                                                                                 get scenario inherit                                VB NN  350  
2743   org.eclipse.emf.ecore.EAttribute getScenario_Modified()                                               getScenario_Modified                                                                                  get scenario modified                                                                                 get scenario modify                                 VB NN  350  
2744   org.eclipse.emf.ecore.EAttribute getScenario_Name()                                                   getScenario_Name                                                                                      get scenario name                                                                                     get scenario name                                   VB NN  350  
2745   org.eclipse.emf.ecore.EAttribute getScenario_Result()                                                 getScenario_Result                                                                                    get scenario result                                                                                   get scenario result                                 VB NN  350  
2746   org.eclipse.emf.ecore.EAttribute getScenario_Vendor()                                                 getScenario_Vendor                                                                                    get scenario vendor                                                                                   get scenario vendor                                 VB NN  350  
2747   org.eclipse.emf.ecore.EAttribute getScenario_Version()                                                getScenario_Version                                                                                   get scenario version                                                                                  get scenario version                                VB NN  350  
2748   org.eclipse.emf.ecore.EAttribute getStringParameterType_Value()                                       getStringParameterType_Value                                                                          get string parameter type value                                                                       get string parameter type value                     VB NN  350  
2749   org.eclipse.emf.ecore.EAttribute getTriangularDistributionType_Max()                                  getTriangularDistributionType_Max                                                                     get triangular distribution type max                                                                  get triangular distribution type max                VB JJ  350  
2750   org.eclipse.emf.ecore.EAttribute getTriangularDistributionType_Min()                                  getTriangularDistributionType_Min                                                                     get triangular distribution type min                                                                  get triangular distribution type min                VB JJ  350  
2751   org.eclipse.emf.ecore.EAttribute getTriangularDistributionType_Mode()                                 getTriangularDistributionType_Mode                                                                    get triangular distribution type mode                                                                 get triangular distribution type mode               VB JJ  350  
2752   org.eclipse.emf.ecore.EAttribute getTruncatedNormalDistributionType_Max()                             getTruncatedNormalDistributionType_Max                                                                get truncated normal distribution type max                                                            get truncate normal distribution type max           VB VB  350  
2753   org.eclipse.emf.ecore.EAttribute getTruncatedNormalDistributionType_Mean()                            getTruncatedNormalDistributionType_Mean                                                               get truncated normal distribution type mean                                                           get truncate normal distribution type mean          VB VB  350  
