text                            lemma                           postag   data_type                                         
for                             for                             IN       JobHandle                                         
context                         context                         NN       JobHandle                                         
schedule                        schedule                        NN       JobHandle                                         
get                             get                             VB       TimerJobFactoryManager                            
timer                           timer                           NN       TimerJobFactoryManager                            
job                             job                             NN       TimerJobFactoryManager                            
factory                         factory                         NN       TimerJobFactoryManager                            
manager                         manager                         NN       TimerJobFactoryManager                            
get                             get                             VB       InternalRuntimeManager                            
runtime                         runtime                         NN       InternalRuntimeManager                            
manager                         manager                         NN       InternalRuntimeManager                            
call                            call                            NN       Void                                              
get                             get                             VB       Job                                               
job                             job                             NN       Job                                               
get                             get                             VB       JobContext                                        
job                             job                             NN       JobContext                                        
context                         context                         NN       JobContext                                        
get                             get                             VB       JobHandle                                         
get                             get                             VB       Trigger                                           
trigger                         trigger                         VB       Trigger                                           
retry                           retry                           VB       boolean                                           
enabled                         enable                          VBD      boolean                                           
shutdown                        shutdown                        NN       void                                              
get                             get                             VB       TimerService                                      
remove                          remove                          VB       TimerService                                      
get                             get                             VB       TimerServiceRegistry                              
instance                        instance                        NN       TimerServiceRegistry                              
evaluate                        evaluate                        VB       Object                                            
expression                      expression                      NN       Object                                            
get                             get                             VB       ProcessValidator                                  
validator                       validator                       NN       ProcessValidator                                  
get                             get                             VB       ProcessValidatorRegistry                          
instance                        instance                        NN       ProcessValidatorRegistry                          
get                             get                             VB       ExceptionScope                                    
exception                       exception                       NN       ExceptionScope                                    
scope                           scope                           NN       ExceptionScope                                    
get                             get                             VB       Collection of NodeInstance                        
node                            node                            NN       Collection of NodeInstance                        
instances                       instance                        NNS      Collection of NodeInstance                        
get                             get                             VB       SwimlaneContext                                   
swimlane                        swimlane                        NN       SwimlaneContext                                   
context                         context                         NN       SwimlaneContext                                   
get                             get                             VB       VariableScope                                     
variable                        variable                        JJ       VariableScope                                     
scope                           scope                           NN       VariableScope                                     
serialize                       serialize                       VB       Action                                            
create                          create                          VB       SignalManager                                     
signal                          signal                          NN       SignalManager                                     
manager                         manager                         NN       SignalManager                                     
get                             get                             VB       FactHandle                                        
process                         process                         NN       FactHandle                                        
instance                        instance                        NN       FactHandle                                        
fact                            fact                            NN       FactHandle                                        
handle                          handle                          VB       FactHandle                                        
find                            find                            VB       NodeInstance                                      
node                            node                            NN       NodeInstance                                      
by                              by                              IN       NodeInstance                                      
unique                          unique                          JJ       NodeInstance                                      
id                              id                              NN       NodeInstance                                      
get                             get                             VB       ContextInstanceFactory                            
context                         context                         NN       ContextInstanceFactory                            
instance                        instance                        NN       ContextInstanceFactory                            
factory                         factory                         NN       ContextInstanceFactory                            
get                             get                             VB       Collection of ProcessInstance                     
get                             get                             VB       ProcessInstance                                   
create                          create                          VB       ProcessInstanceManager                            
get                             get                             VB       ContextInstance                                   
context                         context                         NN       ContextInstance                                   
instance                        instance                        NN       ContextInstance                                   
reload                          reload                          JJ       void                                              
compile                         compile                         VB       void                                              
get                             get                             VB       Process                                           
get                             get                             VB       Collection of ContextInstance                     
context                         context                         NN       Collection of ContextInstance                     
instances                       instance                        NNS      Collection of ContextInstance                     
get                             get                             VB       InternalKnowledgeRuntime                          
get                             get                             VB       ContextContainer                                  
context                         context                         NN       ContextContainer                                  
container                       container                       NN       ContextContainer                                  
get                             get                             VB       Agenda                                            
agenda                          agenda                          NN       Agenda                                            
disconnect                      disconnect                      VB       void                                              
evaluate                        evaluate                        VB       boolean                                           
get                             get                             VB       ReturnValueEvaluator                              
return                          return                          NN       ReturnValueEvaluator                              
value                           value                           NN       ReturnValueEvaluator                              
evaluator                       evaluator                       NN       ReturnValueEvaluator                              
wire                            wire                            NN       void                                              
intercept                       intercept                       VB       void                                              
sys                             sy                              NNS      void                                              
out                             out                             IN       void                                              
println                         println                         NN       void                                              
resolve                         resolve                         NN       String                                            
variable                        variable                        NN       String                                            
resolve                         resolve                         NN       XPathFunction                                     
function                        function                        NN       XPathFunction                                     
get                             get                             VB       Iterator                                          
prefixes                        prefix                          NNS      Iterator                                          
get                             get                             VB       ProcessInstanceFactory                            
process                         process                         NN       ProcessInstanceFactory                            
instance                        instance                        NN       ProcessInstanceFactory                            
factory                         factory                         NN       ProcessInstanceFactory                            
new                             new                             JJ       InternalProcessRuntime                            
process                         process                         NN       InternalProcessRuntime                            
runtime                         runtime                         NN       InternalProcessRuntime                            
resolve                         resolve                         NN       long                                              
value                           value                           NN       long                                              
create                          create                          VB       TimerInstance                                     
load                            load                            NN       Collection of Class                               
get                             get                             VB       ClassLoader                                       
root                            root                            NN       ClassLoader                                       
class                           class                           NN       ClassLoader                                       
loader                          loader                          NN       ClassLoader                                       
get                             get                             VB       Collection of ProcessEventListener                
process                         process                         NN       Collection of ProcessEventListener                
event                           event                           NN       Collection of ProcessEventListener                
listeners                       listener                        NNS      Collection of ProcessEventListener                
create                          create                          VB       ProcessInstance                                   
get                             get                             VB       WorkItemManager                                   
work                            work                            VB       WorkItemManager                                   
item                            item                            NN       WorkItemManager                                   
manager                         manager                         NN       WorkItemManager                                   
find                            find                            VB       String                                            
latest                          latest                          JJS      String                                            
get                             get                             VB       Collection of Process                             
comparator                      comparator                      NN       Collection of Process                             
has                             have                            VBZ      Date                                              
next                            next                            JJ       Date                                              
fire                            fire                            NN       Date                                              
get                             get                             VB       InternalWorkingMemory                             
working                         work                            VBG      InternalWorkingMemory                             
memory                          memory                          NN       InternalWorkingMemory                             
deserialize                     deserialize                     NN       void                                              
serialize                       serialize                       VB       Timer                                             
get                             get                             VB       Collection of CollectionTimerInstance             
timers                          timer                           NNS      Collection of CollectionTimerInstance             
get                             get                             VB       Collection of LongTimerInstance                   
timer                           timer                           NN       Collection of LongTimerInstance                   
map                             map                             NN       Collection of LongTimerInstance                   
internal                        internal                        JJ       long                                              
action                          action                          NN       ActionNodeFactory                                 
name                            name                            NN       ActionNodeFactory                                 
get                             get                             VB       ActionNode                                        
action                          action                          NN       ActionNode                                        
node                            node                            NN       ActionNode                                        
attached                        attach                          VBN      BoundaryEventNodeFactory                          
to                              to                              TO       BoundaryEventNodeFactory                          
cancel                          cancel                          VB       BoundaryEventNodeFactory                          
activity                        activity                        NN       BoundaryEventNodeFactory                          
event                           event                           NN       BoundaryEventNodeFactory                          
filter                          filter                          NN       BoundaryEventNodeFactory                          
name                            name                            NN       BoundaryEventNodeFactory                          
scope                           scope                           NN       BoundaryEventNodeFactory                          
set                             set                             VBN      BoundaryEventNodeFactory                          
meta                            meta                            NN       BoundaryEventNodeFactory                          
data                            datum                           NNS      BoundaryEventNodeFactory                          
time                            time                            NN       BoundaryEventNodeFactory                          
cycle                           cycle                           NN       BoundaryEventNodeFactory                          
variable                        variable                        JJ       BoundaryEventNodeFactory                          
get                             get                             VB       BoundaryEventNode                                 
boundary                        boundary                        NN       BoundaryEventNode                                 
event                           event                           NN       BoundaryEventNode                                 
node                            node                            NN       BoundaryEventNode                                 
done                            do                              VBN      RuleFlowNodeContainerFactory                      
exception                       exception                       NN       CompositeNodeFactory                              
handler                         handler                         NN       CompositeNodeFactory                              
link                            link                            NN       CompositeNodeFactory                              
incoming                        incoming                        JJ       CompositeNodeFactory                              
connections                     connection                      NNS      CompositeNodeFactory                              
name                            name                            NN       CompositeNodeFactory                              
variable                        variable                        JJ       CompositeNodeFactory                              
get                             get                             VB       CompositeContextNode                              
composite                       composite                       JJ       CompositeContextNode                              
node                            node                            NN       CompositeContextNode                              
auto                            auto                            NN       DynamicNodeFactory                                
complete                        complete                        JJ       DynamicNodeFactory                                
exception                       exception                       NN       DynamicNodeFactory                                
handler                         handler                         NN       DynamicNodeFactory                                
link                            link                            NN       DynamicNodeFactory                                
incoming                        incoming                        JJ       DynamicNodeFactory                                
connections                     connection                      NNS      DynamicNodeFactory                                
variable                        variable                        JJ       DynamicNodeFactory                                
get                             get                             VB       DynamicNode                                       
dynamic                         dynamic                         JJ       DynamicNode                                       
node                            node                            NN       DynamicNode                                       
name                            name                            NN       EndNodeFactory                                    
terminate                       terminate                       VB       EndNodeFactory                                    
get                             get                             VB       EndNode                                           
end                             end                             VB       EndNode                                           
node                            node                            NN       EndNode                                           
event                           event                           NN       EventNodeFactory                                  
filter                          filter                          NN       EventNodeFactory                                  
name                            name                            NN       EventNodeFactory                                  
scope                           scope                           NN       EventNodeFactory                                  
variable                        variable                        JJ       EventNodeFactory                                  
get                             get                             VB       EventNode                                         
event                           event                           NN       EventNode                                         
node                            node                            NN       EventNode                                         
name                            name                            NN       FaultNodeFactory                                  
set                             set                             VBN      FaultNodeFactory                                  
fault                           fault                           NN       FaultNodeFactory                                  
collection                      collection                      NN       ForEachNodeFactory                                
expression                      expression                      NN       ForEachNodeFactory                                
link                            link                            NN       ForEachNodeFactory                                
incoming                        incoming                        JJ       ForEachNodeFactory                                
connections                     connection                      NNS      ForEachNodeFactory                                
variable                        variable                        JJ       ForEachNodeFactory                                
wait                            wait                            VB       ForEachNodeFactory                                
for                             for                             IN       ForEachNodeFactory                                
completion                      completion                      NN       ForEachNodeFactory                                
get                             get                             VB       ForEachNode                                       
for                             for                             IN       ForEachNode                                       
each                            each                            DT       ForEachNode                                       
node                            node                            NN       ForEachNode                                       
actor                           actor                           NN       HumanTaskNodeFactory                              
id                              id                              NN       HumanTaskNodeFactory                              
comment                         comment                         NN       HumanTaskNodeFactory                              
content                         content                         NN       HumanTaskNodeFactory                              
in                              in                              IN       HumanTaskNodeFactory                              
mapping                         mapping                         NN       HumanTaskNodeFactory                              
name                            name                            NN       HumanTaskNodeFactory                              
on                              on                              IN       HumanTaskNodeFactory                              
entry                           entry                           NN       HumanTaskNodeFactory                              
action                          action                          NN       HumanTaskNodeFactory                              
out                             out                             IN       HumanTaskNodeFactory                              
priority                        priority                        NN       HumanTaskNodeFactory                              
skippable                       skippable                       JJ       HumanTaskNodeFactory                              
swimlane                        swimlane                        NN       HumanTaskNodeFactory                              
task                            task                            NN       HumanTaskNodeFactory                              
timer                           timer                           NN       HumanTaskNodeFactory                              
wait                            wait                            VB       HumanTaskNodeFactory                              
for                             for                             IN       HumanTaskNodeFactory                              
completion                      completion                      NN       HumanTaskNodeFactory                              
work                            work                            NN       HumanTaskNodeFactory                              
parameter                       parameter                       NN       HumanTaskNodeFactory                              
get                             get                             VB       HumanTaskNode                                     
human                           human                           JJ       HumanTaskNode                                     
task                            task                            NN       HumanTaskNode                                     
node                            node                            NN       HumanTaskNode                                     
name                            name                            NN       JoinFactory                                       
type                            type                            NN       JoinFactory                                       
get                             get                             VB       Join                                              
join                            join                            VB       Join                                              
constraint                      constraint                      NN       MilestoneNodeFactory                              
name                            name                            NN       MilestoneNodeFactory                              
on                              on                              IN       MilestoneNodeFactory                              
entry                           entry                           NN       MilestoneNodeFactory                              
action                          action                          NN       MilestoneNodeFactory                              
timer                           timer                           NN       MilestoneNodeFactory                              
get                             get                             VB       MilestoneNode                                     
milestone                       milestone                       NN       MilestoneNode                                     
node                            node                            NN       MilestoneNode                                     
name                            name                            NN       RuleSetNodeFactory                                
rule                            rule                            NN       RuleSetNodeFactory                                
flow                            flow                            NN       RuleSetNodeFactory                                
group                           group                           NN       RuleSetNodeFactory                                
timer                           timer                           NN       RuleSetNodeFactory                                
get                             get                             VB       RuleSetNode                                       
rule                            rule                            NN       RuleSetNode                                       
set                             set                             VBN      RuleSetNode                                       
node                            node                            NN       RuleSetNode                                       
constraint                      constraint                      NN       SplitFactory                                      
name                            name                            NN       SplitFactory                                      
type                            type                            NN       SplitFactory                                      
get                             get                             VB       Split                                             
split                           split                           VBN      Split                                             
name                            name                            NN       StartNodeFactory                                  
in                              in                              IN       SubProcessNodeFactory                             
mapping                         mapping                         NN       SubProcessNodeFactory                             
independent                     independent                     JJ       SubProcessNodeFactory                             
name                            name                            NN       SubProcessNodeFactory                             
on                              on                              IN       SubProcessNodeFactory                             
entry                           entry                           NN       SubProcessNodeFactory                             
action                          action                          NN       SubProcessNodeFactory                             
out                             out                             IN       SubProcessNodeFactory                             
process                         process                         NN       SubProcessNodeFactory                             
id                              id                              NN       SubProcessNodeFactory                             
timer                           timer                           NN       SubProcessNodeFactory                             
wait                            wait                            VB       SubProcessNodeFactory                             
for                             for                             IN       SubProcessNodeFactory                             
completion                      completion                      NN       SubProcessNodeFactory                             
get                             get                             VB       SubProcessNode                                    
sub                             sub                             JJ       SubProcessNode                                    
process                         process                         NN       SubProcessNode                                    
node                            node                            NN       SubProcessNode                                    
delay                           delay                           NN       TimerNodeFactory                                  
name                            name                            NN       TimerNodeFactory                                  
period                          period                          NN       TimerNodeFactory                                  
get                             get                             VB       TimerNode                                         
timer                           timer                           NN       TimerNode                                         
node                            node                            NN       TimerNode                                         
in                              in                              IN       WorkItemNodeFactory                               
mapping                         mapping                         NN       WorkItemNodeFactory                               
name                            name                            NN       WorkItemNodeFactory                               
on                              on                              IN       WorkItemNodeFactory                               
entry                           entry                           NN       WorkItemNodeFactory                               
action                          action                          NN       WorkItemNodeFactory                               
out                             out                             IN       WorkItemNodeFactory                               
timer                           timer                           NN       WorkItemNodeFactory                               
wait                            wait                            VB       WorkItemNodeFactory                               
for                             for                             IN       WorkItemNodeFactory                               
completion                      completion                      NN       WorkItemNodeFactory                               
work                            work                            NN       WorkItemNodeFactory                               
get                             get                             VB       WorkItemNode                                      
work                            work                            VB       WorkItemNode                                      
item                            item                            NN       WorkItemNode                                      
node                            node                            NN       WorkItemNode                                      
connection                      connection                      NN       RuleFlowNodeContainerFactory                      
get                             get                             VB       Collection of StartNode                           
timer                           timer                           NN       Collection of StartNode                           
start                           start                           NN       Collection of StartNode                           
get                             get                             VB       CompensationScope                                 
compensation                    compensation                    NN       CompensationScope                                 
scope                           scope                           NN       CompensationScope                                 
get                             get                             VB       StartNode                                         
start                           start                           VB       StartNode                                         
create                          create                          VB       NodeContainer                                     
node                            node                            NN       NodeContainer                                     
container                       container                       NN       NodeContainer                                     
get                             get                             VB       RuleFlowProcess                                   
process                         process                         NN       RuleFlowProcess                                   
create                          create                          VB       RuleFlowProcessFactory                            
process                         process                         NN       RuleFlowProcessFactory                            
exception                       exception                       NN       RuleFlowProcessFactory                            
handler                         handler                         NN       RuleFlowProcessFactory                            
function                        function                        NN       RuleFlowProcessFactory                            
imports                         import                          NNS      RuleFlowProcessFactory                            
global                          global                          JJ       RuleFlowProcessFactory                            
globals                         global                          NNS      RuleFlowProcessFactory                            
name                            name                            NN       RuleFlowProcessFactory                            
package                         package                         NN       RuleFlowProcessFactory                            
swimlane                        swimlane                        NN       RuleFlowProcessFactory                            
validate                        validate                        VB       RuleFlowProcessFactory                            
variable                        variable                        JJ       RuleFlowProcessFactory                            
version                         version                         NN       RuleFlowProcessFactory                            
compilation                     compilation                     NN       boolean                                           
validate                        validate                        VB       Collection of ProcessValidationError              
process                         process                         NN       Collection of ProcessValidationError              
get                             get                             VB       RuleFlowProcessValidator                          
instance                        instance                        NN       RuleFlowProcessValidator                          
get                             get                             VB       Node                                              
from                            from                            IN       Node                                              
terminate                       terminate                       VB       void                                              
get                             get                             VB       Collection of DroolsAction                        
actions                         action                          NNS      Collection of DroolsAction                        
internal                        internal                        JJ       Node                                              
get                             get                             VB       Collection of Constraint                          
constraints                     constraint                      NNS      Collection of Constraint                          
get                             get                             VB       Constraint                                        
internal                        internal                        JJ       Constraint                                        
get                             get                             VB       Connection                                        
from                            from                            IN       Connection                                        
get                             get                             VB       Integer                                           
process                         process                         NN       Integer                                           
type                            type                            NN       Integer                                           
internal                        internal                        JJ       Collection of Node                                
get                             get                             VB       NodeAndType                                       
linked                          link                            VBN      NodeAndType                                       
incoming                        incoming                        JJ       NodeAndType                                       
node                            node                            NN       NodeAndType                                       
internal                        internal                        JJ       NodeAndType                                       
find                            find                            VB       StartNode                                         
start                           start                           NN       StartNode                                         
