text                                                                              lemma                                                                             postag                                              data_type                                         
get context type                                                                  get context type                                                                  VB NN NN                                            String                                            
add compensation instances                                                        add compensation instance                                                         VB NN NNS                                           void                                              
throw workflow runtime exception                                                  throw workflow runtime exception                                                  VB NN NN NN                                         void                                              
get exception scope                                                               get exception scope                                                               VB NN NN                                            ExceptionScope                                    
contains node instance                                                            contain node instance                                                             VBZ NN NN                                           boolean                                           
get node instances                                                                get node instance                                                                 VB NN NNS                                           1D Collection of NodeInstance                     
add node instance                                                                 add node instance                                                                 VB NN NN                                            void                                              
get swimlane context                                                              get swimlane context                                                              VB NN NN                                            SwimlaneContext                                   
set actor id                                                                      set actor id                                                                      VBN NN NN                                           void                                              
get variable                                                                      get variable                                                                      VB JJ                                               Object                                            
get variables                                                                     get variable                                                                      VB NNS                                              1D Map of Object                                  
get variable scope                                                                get variable scope                                                                VB JJ NN                                            VariableScope                                     
internal set variable                                                             internal set variable                                                             JJ NN NN                                            void                                              
set context instance container                                                    set context instance container                                                    VBN NN NN NN                                        void                                              
set variable                                                                      set variable                                                                      VBN JJ                                              void                                              
serialize                                                                         serialize                                                                         VB                                                  Action                                            
read external                                                                     read external                                                                     VB JJ                                               void                                              
write external                                                                    write external                                                                    VB JJ                                               void                                              
add event listener                                                                add event listener                                                                VB NN NN                                            void                                              
internal signal event                                                             internal signal event                                                             JJ NN NN                                            void                                              
remove event listener                                                             remove event listener                                                             VB NN NN                                            void                                              
signal event                                                                      signal event                                                                      NN NN                                               void                                              
create signal manager                                                             create signal manager                                                             VB NN NN                                            SignalManager                                     
get process instance fact handle                                                  get process instance fact handle                                                  VB NN NN NN VB                                      FactHandle                                        
find node by unique id                                                            find node by unique id                                                            VB NN IN JJ NN                                      NodeInstance                                      
get context instance factory                                                      get context instance factory                                                      VB NN NN NN                                         ContextInstanceFactory                            
get process instances                                                             get process instance                                                              VB NN NNS                                           1D Collection of ProcessInstance                  
get process instance                                                              get process instance                                                              VB NN NN                                            ProcessInstance                                   
add process instance                                                              add process instance                                                              VB NN NN                                            void                                              
clear process instances                                                           clear process instance                                                            JJ NN NNS                                           void                                              
clear process instances state                                                     clear process instance state                                                      JJ NN NNS NN                                        void                                              
internal add process instance                                                     internal add process instance                                                     JJ VB NN NN                                         void                                              
internal remove process instance                                                  internal remove process instance                                                  JJ VB NN NN                                         void                                              
remove process instance                                                           remove process instance                                                           VB NN NN                                            void                                              
create process instance manager                                                   create process instance manager                                                   VB NN NN NN                                         ProcessInstanceManager                            
get context instance                                                              get context instance                                                              VB NN NN                                            ContextInstance                                   
reload result list                                                                reload result list                                                                JJ NN NN                                            void                                              
remove result                                                                     remove result                                                                     VB NN                                               void                                              
update                                                                            update                                                                            VB                                                  void                                              
evaluate                                                                          evaluate                                                                          VB                                                  Object                                            
compile                                                                           compile                                                                           VB                                                  void                                              
get dialect                                                                       get dialect                                                                       VB NN                                               String                                            
get state                                                                         get state                                                                         VB NN                                               int                                               
get process                                                                       get process                                                                       VB NN                                               Process                                           
get process name                                                                  get process name                                                                  VB NN NN                                            String                                            
get event types                                                                   get event type                                                                    VB NN NNS                                           1D Array of String                                
get context instances                                                             get context instance                                                              VB NN NNS                                           1D Collection of ContextInstance                  
get id                                                                            get id                                                                            VB NN                                               long                                              
get knowledge runtime                                                             get knowledge runtime                                                             VB NN NN                                            InternalKnowledgeRuntime                          
get context container                                                             get context container                                                             VB NN NN                                            ContextContainer                                  
get agenda                                                                        get agenda                                                                        VB NN                                               Agenda                                            
add context instance                                                              add context instance                                                              VB NN NN                                            void                                              
disconnect                                                                        disconnect                                                                        VB                                                  void                                              
internal set state                                                                internal set state                                                                JJ NN NN                                            void                                              
evaluate                                                                          evaluate                                                                          VB                                                  boolean                                           
is default                                                                        be default                                                                        VBZ NN                                              boolean                                           
get priority                                                                      get priority                                                                      VB NN                                               int                                               
get constraint                                                                    get constraint                                                                    VB NN                                               String                                            
get return value evaluator                                                        get return value evaluator                                                        VB NN NN NN                                         ReturnValueEvaluator                              
wire                                                                              wire                                                                              NN                                                  void                                              
intercept sys out sys err                                                         intercept sy out sy err                                                           VB NNS IN NNS VBP                                   void                                              
log                                                                               log                                                                               NN                                                  void                                              
new line                                                                          new line                                                                          JJ NN                                               void                                              
print                                                                             print                                                                             NN                                                  void                                              
println                                                                           println                                                                           NN                                                  void                                              
reset intercept sys out sys err                                                   reset intercept sy out sy err                                                     VB VB NNS IN NNS VBP                                void                                              
resolve variable                                                                  resolve variable                                                                  NN NN                                               String                                            
resolve function                                                                  resolve function                                                                  NN NN                                               XPathFunction                                     
resolve variable                                                                  resolve variable                                                                  NN NN                                               Object                                            
get namespace uri                                                                 get namespace uri                                                                 VB NN NN                                            String                                            
get prefixes                                                                      get prefix                                                                        VB NNS                                              Iterator                                          
get process instance factory                                                      get process instance factory                                                      VB NN NN NN                                         ProcessInstanceFactory                            
new process runtime                                                               new process runtime                                                               JJ NN NN                                            InternalProcessRuntime                            
resolve value                                                                     resolve value                                                                     NN NN                                               long                                              
create timer instance                                                             create timer instance                                                             VB NN NN                                            TimerInstance                                     
configure timer instance                                                          configure timer instance                                                          VB NN NN                                            void                                              
init timer                                                                        init timer                                                                        NN NN                                               void                                              
load class                                                                        load class                                                                        NN NN                                               1D Collection of                                  
get root class loader                                                             get root class loader                                                             VB NN NN NN                                         ClassLoader                                       
get process event listeners                                                       get process event listener                                                        VB NN NN NNS                                        1D Collection of ProcessEventListener             
create process instance                                                           create process instance                                                           VB NN NN                                            ProcessInstance                                   
start process instance                                                            start process instance                                                            VB NN NN                                            ProcessInstance                                   
get work item manager                                                             get work item manager                                                             VB VB NN NN                                         WorkItemManager                                   
init process activation listener                                                  init process activation listener                                                  NN NN NN NN                                         void                                              
init process event listener                                                       init process event listener                                                       NN NN NN NN                                         void                                              
init process event listeners                                                      init process event listener                                                       NN NN NN NNS                                        void                                              
init process instance manager                                                     init process instance manager                                                     NN NN NN NN                                         void                                              
init signal manager                                                               init signal manager                                                               NN NN NN                                            void                                              
init start timers                                                                 init start timer                                                                  NN NN NNS                                           void                                              
find latest process by name                                                       find latest process by name                                                       VB JJS NN IN NN                                     String                                            
get comparator                                                                    get comparator                                                                    VB NN                                               1D Collection of Process                          
start process by name                                                             start process by name                                                             VB NN IN NN                                         ProcessInstance                                   
has next fire time                                                                have next fire time                                                               VBZ JJ NN NN                                        Date                                              
next fire time                                                                    next fire time                                                                    JJ NN NN                                            Date                                              
get working memory                                                                get work memory                                                                   VB VBG NN                                           InternalWorkingMemory                             
deserialize                                                                       deserialize                                                                       NN                                                  void                                              
serialize                                                                         serialize                                                                         VB                                                  Timer                                             
get timers                                                                        get timer                                                                         VB NNS                                              1D Collection of TimerInstance                    
get timer map                                                                     get timer map                                                                     VB NN NN                                            1D Map of TimerInstance                           
internal get timer id                                                             internal get timer id                                                             JJ VB NN NN                                         long                                              
get timer service                                                                 get timer service                                                                 VB NN NN                                            TimerService                                      
cancel timer                                                                      cancel timer                                                                      VB NN                                               void                                              
internal add timer                                                                internal add timer                                                                JJ VB NN                                            void                                              
internal set timer id                                                             internal set timer id                                                             JJ NN NN NN                                         void                                              
register timer                                                                    register timer                                                                    NN NN                                               void                                              
action                                                                            action                                                                            NN                                                  ActionNodeFactory                                 
name                                                                              name                                                                              NN                                                  ActionNodeFactory                                 
get action node                                                                   get action node                                                                   VB NN NN                                            ActionNode                                        
attached to                                                                       attach to                                                                         VBN TO                                              BoundaryEventNodeFactory                          
cancel activity                                                                   cancel activity                                                                   VB NN                                               BoundaryEventNodeFactory                          
event filter                                                                      event filter                                                                      NN NN                                               BoundaryEventNodeFactory                          
event transformer                                                                 event transformer                                                                 NN NN                                               BoundaryEventNodeFactory                          
event type                                                                        event type                                                                        NN NN                                               BoundaryEventNodeFactory                          
name                                                                              name                                                                              NN                                                  BoundaryEventNodeFactory                          
scope                                                                             scope                                                                             NN                                                  BoundaryEventNodeFactory                          
set meta data                                                                     set meta datum                                                                    VBN NN NNS                                          BoundaryEventNodeFactory                          
time cycle                                                                        time cycle                                                                        NN NN                                               BoundaryEventNodeFactory                          
time duration                                                                     time duration                                                                     NN NN                                               BoundaryEventNodeFactory                          
variable name                                                                     variable name                                                                     JJ NN                                               BoundaryEventNodeFactory                          
get boundary event node                                                           get boundary event node                                                           VB NN NN NN                                         BoundaryEventNode                                 
done                                                                              do                                                                                VBN                                                 RuleFlowNodeContainerFactory                      
exception handler                                                                 exception handler                                                                 NN NN                                               CompositeNodeFactory                              
link incoming connections                                                         link incoming connection                                                          NN JJ NNS                                           CompositeNodeFactory                              
link outgoing connections                                                         link outgoing connection                                                          NN JJ NNS                                           CompositeNodeFactory                              
name                                                                              name                                                                              NN                                                  CompositeNodeFactory                              
variable                                                                          variable                                                                          JJ                                                  CompositeNodeFactory                              
get composite node                                                                get composite node                                                                VB JJ NN                                            CompositeContextNode                              
auto complete                                                                     auto complete                                                                     NN JJ                                               DynamicNodeFactory                                
exception handler                                                                 exception handler                                                                 NN NN                                               DynamicNodeFactory                                
link incoming connections                                                         link incoming connection                                                          NN JJ NNS                                           DynamicNodeFactory                                
link outgoing connections                                                         link outgoing connection                                                          NN JJ NNS                                           DynamicNodeFactory                                
variable                                                                          variable                                                                          JJ                                                  DynamicNodeFactory                                
get dynamic node                                                                  get dynamic node                                                                  VB JJ NN                                            DynamicNode                                       
name                                                                              name                                                                              NN                                                  EndNodeFactory                                    
terminate                                                                         terminate                                                                         VB                                                  EndNodeFactory                                    
get end node                                                                      get end node                                                                      VB VB NN                                            EndNode                                           
event filter                                                                      event filter                                                                      NN NN                                               EventNodeFactory                                  
event transformer                                                                 event transformer                                                                 NN NN                                               EventNodeFactory                                  
event type                                                                        event type                                                                        NN NN                                               EventNodeFactory                                  
name                                                                              name                                                                              NN                                                  EventNodeFactory                                  
scope                                                                             scope                                                                             NN                                                  EventNodeFactory                                  
variable name                                                                     variable name                                                                     JJ NN                                               EventNodeFactory                                  
get event node                                                                    get event node                                                                    VB NN NN                                            EventNode                                         
name                                                                              name                                                                              NN                                                  FaultNodeFactory                                  
set fault name                                                                    set fault name                                                                    VBN NN NN                                           FaultNodeFactory                                  
set fault variable                                                                set fault variable                                                                VBN NN NN                                           FaultNodeFactory                                  
collection expression                                                             collection expression                                                             NN NN                                               ForEachNodeFactory                                
link incoming connections                                                         link incoming connection                                                          NN JJ NNS                                           ForEachNodeFactory                                
link outgoing connections                                                         link outgoing connection                                                          NN JJ NNS                                           ForEachNodeFactory                                
variable                                                                          variable                                                                          JJ                                                  ForEachNodeFactory                                
wait for completion                                                               wait for completion                                                               VB IN NN                                            ForEachNodeFactory                                
get for each node                                                                 get for each node                                                                 VB IN DT NN                                         ForEachNode                                       
actor id                                                                          actor id                                                                          NN NN                                               HumanTaskNodeFactory                              
comment                                                                           comment                                                                           NN                                                  HumanTaskNodeFactory                              
content                                                                           content                                                                           NN                                                  HumanTaskNodeFactory                              
in mapping                                                                        in mapping                                                                        IN NN                                               HumanTaskNodeFactory                              
name                                                                              name                                                                              NN                                                  HumanTaskNodeFactory                              
on entry action                                                                   on entry action                                                                   IN NN NN                                            HumanTaskNodeFactory                              
on exit action                                                                    on exit action                                                                    IN NN NN                                            HumanTaskNodeFactory                              
out mapping                                                                       out mapping                                                                       IN NN                                               HumanTaskNodeFactory                              
priority                                                                          priority                                                                          NN                                                  HumanTaskNodeFactory                              
skippable                                                                         skippable                                                                         JJ                                                  HumanTaskNodeFactory                              
swimlane                                                                          swimlane                                                                          NN                                                  HumanTaskNodeFactory                              
task name                                                                         task name                                                                         NN NN                                               HumanTaskNodeFactory                              
timer                                                                             timer                                                                             NN                                                  HumanTaskNodeFactory                              
wait for completion                                                               wait for completion                                                               VB IN NN                                            HumanTaskNodeFactory                              
work parameter                                                                    work parameter                                                                    NN NN                                               HumanTaskNodeFactory                              
get human task node                                                               get human task node                                                               VB JJ NN NN                                         HumanTaskNode                                     
name                                                                              name                                                                              NN                                                  JoinFactory                                       
